OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
tattoo;A tattoo parlour.;shop > health beauty > tattoo;business professional services > health beauty service > tattoo parlor;tattoo parlor
boat rental;Rent a Boat;amenity > transportation > boat rental;travel transportation > boat rental;boat rental
bicycle rental;Rent a bicycle;amenity > transportation > bicycle rental;travel transportation > bike rental;bike rental
massage;A massage shop;shop > health beauty > massage;business professional services > health beauty service > massage clinic;massage clinic
cosmetics;Shop focused on selling cosmetics;shop > health beauty > cosmetics;retail > cosmetics store;cosmetics store
fashion accessories;Shop focused on selling fashion accessories.;shop > clothing shoes accessories > fashion accessories;retail > fashion retail > fashion accessories store;fashion accessories store
bag;Shop focused on selling bags.;shop > clothing shoes accessories > bag;retail > luggage store;luggage store
carpet;Shop focused on selling carpets;shop > furniture interior > carpet;retail > furniture home store > carpet store;carpet store
podiatrist;Someone who practices podiatry but is not a Physician on Wikipedia.;healthcare > podiatrist;health medicine > podiatrist;podiatrist
perfumery;Shop focused on selling perfumery;shop > health beauty > perfumery;retail > perfume store;perfume store
scooter;Shop focused on selling scooters (small 2 wheeled, low platformed motorcycles).;shop > outdoors sport vehicles > scooter;retail > automotive retail > motor scooter dealership;motor scooter dealership
butcher;Shop focused on selling meat;shop > food beverages > butcher;retail > food beverage retail > butcher;butcher
taxi;A place where taxis wait for passengers.;amenity > transportation > taxi;travel transportation > transport hub > taxi stand;taxi stand
motorcycle repair;Shop focused on motorcycle repair.;shop > outdoors sport vehicles > motorcycle repair;business professional services > automotive service > motorcycle repair shop;motorcycle repair shop
tobacco;Shop focused on selling tobacco, cigarettes and their related accessories.;shop > others > tobacco;retail > tobacco store;tobacco store
advertising agency;A service-based business dedicated to creating, planning, and handling advertising.;office > advertising agency;business professional services > advertising agency;advertising agency
mobile phone;Shop focused on selling mobile phones and accessories;shop > electronics > mobile phone;retail > computers electronics retail > mobile phone store;mobile phone store
watches;Shop focused on selling watches.;shop > clothing shoes accessories > watches;retail > fashion retail > watch store;watch store
toys;Shop focused on selling toys.;shop > others > toys;retail > toy store;toy store
public;A building constructed as accessible to the general public (a town hall, police station, court house, etc.).;building > civicamenity > public;community government > government building;government building
water park;An amusement park with features like water slides, recreational pools (e.g. wave pools) or lazy rivers.;leisure > water park;arts entertainment > water park;water park
financial advisor;A professional who offers financial planning and sells financial services to clients.;office > financial advisor;business professional services > financial service > financial planner;financial planner
shoe repair;Shop focused on repairing shoes.;shop > clothing shoes accessories > shoe repair;business professional services > shoe repair service;shoe repair service
fishing;Shop focused on selling fishing equipment.;shop > outdoors sport vehicles > fishing;retail > sporting goods retail > fishing store;fishing store
motel;Short term accommodation, particularly for people travelling by car.;tourism > motel;travel transportation > lodging > motel;motel
golf;Shop focused on selling golf equipment.;shop > outdoors sport vehicles > golf;retail > sporting goods retail > golf store;golf store
sports;Shop focused on selling sporting goods.;shop > outdoors sport vehicles > sports;retail > sporting goods retail;sporting goods retail
wool;Shop selling wool for making of clothes or other products.;shop > clothing shoes accessories > wool;retail > knitting store;knitting store
cinema;A place where films are shown (US: movie theater);amenity > entertainment arts culture > cinema;arts entertainment > movie theater;movie theater
government;For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses.;building > civicamenity > government;community government > government building;government building
exhibition centre;An exhibition centre;amenity > entertainment arts culture > exhibition centre;arts entertainment > exhibit;exhibit
computer;Shop focused on selling computers, peripherals, software, �?�;shop > electronics > computer;retail > computers electronics retail;computers electronics retail
bed;Shop focused on selling beds, mattresses and other bedding products.;shop > furniture interior > bed;retail > furniture home store > mattress store;mattress store
convenience;A small local shop carrying a small subset of the items you would find in a supermarket;shop > food beverages > convenience;retail > convenience store;convenience store
optician;Shop focused on selling eyeglasses, contact lenses (may also check your eyes).;shop > health beauty > optician;retail > eyecare store;eyecare store
hunting;Shop focused on selling gun and hunting equipment.;shop > outdoors sport vehicles > hunting;retail > sporting goods retail > hunting supply store;hunting supply store
alcohol;Shop selling alcohol to take away;shop > food beverages > alcohol;retail > food beverage retail > liquor store;liquor store
stationery;Shop focused on selling office supplies;shop > stationery gifts books newspapers > stationery;retail > stationery store;stationery store
bus;The route a public bus service takes. See Buses.;route > bus;travel transportation > transportation service > public transportation > bus line;bus line
miniature golf;A place or area where you can play miniature golf.;leisure > miniature golf;arts entertainment > mini golf course;mini golf course
piste;Route of a piste (e.g., snowshoe or XC-Ski trails) in a winter sport area.;route > piste;sports recreation > snow sports > ski resort area > ski trail;ski trail
townhall;Building where the administration of a village, town or city may be located, or just a community meeting place;amenity > public service > townhall;community government > town hall;town hall
swimming pool;A swimming pool (water area only).;leisure > swimming pool;sports recreation > water sports > swimming > swimming pool;swimming pool
ice cream;Shop selling ice cream. See also amenity=ice_cream.;shop > food beverages > ice cream;dining drinking > dessert shop > ice cream parlor;ice cream parlor
fishing;A public or private place for fishing.;leisure > fishing;sports recreation > fishing area;fishing area
music venue;An indoor place to hear contemporary live music.;amenity > entertainment arts culture > music venue;arts entertainment > performing arts venue > music venue;music venue
ice rink;A place where you can skate and play bandy or ice hockey.;leisure > ice rink;sports recreation > skating > skating rink;skating rink
copyshop;Shop focused on selling photocopying and printing services.;shop > others > copyshop;retail > print store;print store
music;Shop focused on selling recorded music (vinyl/CDs/...);shop > art music hobbies > music;retail > record store;record store
pest control;A business that offers pest control services;craft > pest control;business professional services > home improvement service > pest control service;pest control service
motorcycle;Shop focused on selling motorcycles and/or related accessories, clothes, parts, and rental services.;shop > outdoors sport vehicles > motorcycle;retail > automotive retail > motorcycle dealership;motorcycle dealership
fire station;A station of a fire brigade;amenity > public service > fire station;community government > government building > law enforcement public safety > fire station;fire station
consulting;An office for a consulting firm, providing expert professional advice to other companies or organisations.;office > consulting;business professional services > office > business strategy consulting office;business strategy consulting office
charity;An office of a charitable organization;office > charity;community government > organization > charity;charity
deli;Shop focused on selling delicatessen (fine foods, gourmet foods), possibly also fine wine. Not to be confused with the US delis.;shop > food beverages > deli;dining drinking > restaurant > deli;deli
farm;Shop or roadside stand focused on selling freshly harvested farm produce;shop > food beverages > farm;retail > food beverage retail > farmers market;farmers market
sewing;A shop that sells sewing supplies (fabric, thread, yarn, knitting needles, sewing machines, etc.);shop > clothing shoes accessories > sewing;retail > knitting store;knitting store
beverages;Shop focused on selling alcoholic and non-alcoholic beverages. See also shop=alcohol.;shop > food beverages > beverages;retail > food beverage retail;food beverage retail
horse riding;A facility where people practise horse riding, usually in their spare time, e.g. a riding centre. For a riding arena use leisure=pitch + sport=equestrian.;leisure > horse riding;sports recreation > equestrian facility;equestrian facility
roofer;A workplace or office of a tradesman who is specialized in roof covering and sealing.;craft > roofer;business professional services > home improvement service > roofer;roofer
baby goods;Shop focused on selling objects for babies (clothes, prams, cots, toys).;shop > clothing shoes accessories > baby goods;retail > baby store;baby store
events venue;A building specifically used for organising events;amenity > entertainment arts culture > events venue;business professional services > event space;event space
fence maker;A workplace or office of a person or company specialized in manufacturing and installing fences.;craft > fence maker;business professional services > home improvement service > fence contractor;fence contractor
sports centre;A sports centre is a distinct facility where sports take place within an enclosed area.;leisure > sports centre;sports recreation > indoor play area;indoor play area
arts centre;A venue where a variety of arts are performed or conducted;amenity > entertainment arts culture > arts centre;arts entertainment > performing arts venue;performing arts venue
conference centre;A large building that is used to hold a convention;amenity > entertainment arts culture > conference centre;business professional services > convention center;convention center
car;Car store �?? a place primarily to buy cars or to additionally get your car repaired;shop > outdoors sport vehicles > car;retail > automotive retail > car dealership;car dealership
car repair;Shop focused on repairing cars.;shop > outdoors sport vehicles > car repair;business professional services > automotive service > automotive repair shop;automotive repair shop
midwife;A Midwife, a health professional who cares for mothers and newborns around childbirth.;healthcare > midwife;health medicine > maternity clinic;maternity clinic
pastry;Shop focused on selling baked sweets like cakes, biscuits, strudel and pies.;shop > food beverages > pastry;dining drinking > dessert shop > pastry shop;pastry shop
beauty;A non-hairdresser beauty shop, spa, nail salon, etc.. See also shop=hairdresser.;shop > health beauty > beauty;business professional services > health beauty service;health beauty service
car rental;Rent a car;amenity > transportation > car rental;travel transportation > transport hub > rental car location;rental car location
variety store;A variety store retailer is a retail store that sells inexpensive items, sometimes with a single price point for all items in the store.;shop > discount store charity > variety store;retail > discount store;discount store
fitness station;An outdoor facility where people can practise typical fitness exercises.;leisure > fitness station;sports recreation > gym studio > outdoor gym;outdoor gym
emergency ward entrance;The entrance to an emergency ward.;emergency > medical rescue > emergency ward entrance;health medicine > emergency service;emergency service
wholesale;Wholesale/warehouse club or cash and carry �?? a store that sells items in bulk to retailers. The branch of industry can be defined with wholesale=*.;shop > general store department store mall > wholesale;retail > warehouse wholesale store;warehouse wholesale store
theatre;A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity=cinema for movie theaters.;amenity > entertainment arts culture > theatre;arts entertainment > performing arts venue > theater;theater
clothes;Shop focused on selling clothes and/or underwear (other related value in use is fashion);shop > clothing shoes accessories > clothes;retail > fashion retail > clothing store;clothing store
antiques;Shop focused on selling antiques.;shop > furniture interior > antiques;retail > antique store;antique store
castle wall;A fortification surrounding the bailey of a castle.;historic > castle wall;landmarks outdoors > castle;castle
boat sharing;Share a Boat;amenity > transportation > boat sharing;travel transportation;travel transportation
pitch;An area designed for practising a particular sport, normally designated with appropriate markings.;leisure > pitch;sports recreation > athletic field;athletic field
weapons;Shop focused on selling weapons like knives, guns etc.;shop > others > weapons;retail > sporting goods retail > gun store;gun store
property management;Office of a property rental company for residential apartments or commercial office space or any other property.;office > property management;business professional services > real estate service > property management office;property management office
theme park;An amusement park where entertainment is provided by rides, games, concessions.;tourism > theme park;arts entertainment > amusement park;amusement park
travel agent;An office of a travel agent.;office > travel agent;travel transportation > travel agency;travel agency
kiosk;A small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps.;shop > general store department store mall > kiosk;retail > newsstand;newsstand
car parts;Shop focused on selling auto parts, auto accessories, motor oil, car chemicals, etc.;shop > outdoors sport vehicles > car parts;retail > automotive retail > car parts accessories;car parts accessories
alpine hut;A remote building located in the mountains intended to provide board and lodging.;tourism > alpine hut;landmarks outdoors > mountain hut;mountain hut
chimney sweeper;A workplace or office of a person who cleans chimneys for a living.;craft > chimney sweeper;business professional services > home improvement service > chimney sweep;chimney sweep
hairdresser supply;A shop, where you can buy hairdressing supplies.;shop > health beauty > hairdresser supply;retail;retail
picnic site;A locality that is suitable for outdoors eating, with facilities to aid a picnic such as tables and benches.;tourism > picnic site;landmarks outdoors > park > picnic area;picnic area
information;Information for tourists and visitors, including information offices;tourism > information;travel transportation > tourist information service;tourist information service
ecigarette;Shop focused on selling electronic cigarettes.;shop > others > ecigarette;retail > vape store;vape store
vehicle inspection;Government vehicle inspection;amenity > transportation > vehicle inspection;business professional services > automotive service > vehicle inspection station;vehicle inspection station
truck;Shop focused on selling trucks and other commercial vehicles;shop > outdoors sport vehicles > truck;retail > automotive retail > car dealership;car dealership
tea;Shop focused on selling tea.;shop > food beverages > tea;dining drinking > cafe coffee tea house > tea room;tea room
hunting stand;A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain;amenity > others > hunting stand;sports recreation > hunting area;hunting area
terminal;An airport passenger building;aeroway > terminal;travel transportation > transport hub > airport > airport terminal;airport terminal
tyres;Shop focused on selling tyres.;shop > outdoors sport vehicles > tyres;retail > automotive retail > car parts accessories;car parts accessories
bus stop;A small bus stop. Optionally one may also use public_transport=stop_position for the position where the vehicle stops and public_transport=platform for the place where passengers wait.;highway > highway features > bus stop;travel transportation > transport hub > bus stop;bus stop
trailer;Shop focused on selling trailers and parts and/or repairing / renting them;shop > outdoors sport vehicles > trailer;retail > automotive shop;automotive shop
pet grooming;A shop offering grooming services for pets (most frequently dogs);shop > others > pet grooming;business professional services > pet service > pet grooming service;pet grooming service
ski;For ski tracks (e.g., XC-Ski Trails User:Langläufer/Loipemap).;route > ski;sports recreation > snow sports > ski resort area > ski trail;ski trail
toll booth;A place where a road usage toll or fee is collected.;barrier > access control highways > toll booth;travel transportation > toll booth;toll booth
food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;amenity > sustenance > food court;dining drinking > food court;food court
birthing centre;A non-clinical birthing centre operated by midwives.;healthcare > birthing centre;health medicine > maternity clinic;maternity clinic
winter sports;An area dedicated to winter sports (e.g. skiing);landuse > landuse key values > winter sports;sports recreation > snow sports > ski resort area;ski resort area
fabric;Shop focused on selling fabric and other materials for the purpose of making clothes and other products, eg dress making.;shop > clothing shoes accessories > fabric;retail > textiles store;textiles store
aerodrome;An aerodrome, airport or airfield;aeroway > aerodrome;travel transportation > transport hub > airport;airport
frozen food;Shop focused on selling frozen food.;shop > food beverages > frozen food;retail > food beverage retail;food beverage retail
stop area;A relation that contains all elements of a train, subway, monorail, tram, bus, trolleybus, aerialway, or ferry stop.;public transport > public transport > stop area;travel transportation > transportation service > public transportation;public transportation
ice cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;amenity > sustenance > ice cream;dining drinking > dessert shop > ice cream parlor;ice cream parlor
bicycle;Shop focused on selling bicycles, bicycle equipment and may rent or repair them;shop > outdoors sport vehicles > bicycle;retail > sporting goods retail > bicycle store;bicycle store
gardener;A workplace or office of a garden designer or a landscape gardener.;craft > gardener;business professional services > home improvement service > landscaper gardener;landscaper gardener
health food;"A health food shop; selling wholefoods, vitamins, nutrition supplements and meat and dairy alternatives.";shop > food beverages > health food;retail > food beverage retail > health food store;health food store
ngo;An office for a non-profit, non-governmental organisation (NGO).;office > ngo;community government > organization > nonprofit organization;nonprofit organization
broadcaster;A radio or television broadcasting station.;office > broadcaster;business professional services > radio station;radio station
painter;A workplace or office of a house painter which is a tradesman responsible for the painting and decorating of buildings.;craft > painter;business professional services > home improvement service > painter;painter
flooring;Shop focused on selling floorings;shop > furniture interior > flooring;retail > construction supplies store;construction supplies store
dentist;A dentist practice / surgery.;amenity > healthcare > dentist;health medicine > dentist;dentist
newsagent;Shop focused on selling newspapers, cigarettes, other goods;shop > stationery gifts books newspapers > newsagent;retail > newsagent;newsagent
fitness centre;Fitness centre, health club or gym with exercise machines, fitness classes or both, for exercise.;leisure > fitness centre;sports recreation > gym studio > gym;gym
surf;Shop selling surfboards, sailboards, wakeboards, and other types of surf style boards. and/or related accessories, clothes, parts, repair and rental services.;shop > outdoors sport vehicles > surf;retail > sporting goods retail > surf store;surf store
household linen;Shop focused on selling household linen.;shop > furniture interior > household linen;retail > furniture home store;furniture home store
bus station;May also be tagged as public_transport=station.;amenity > transportation > bus station;travel transportation > transport hub > bus station;bus station
supermarket;Supermarket �?? a large store with groceries and other items;shop > general store department store mall > supermarket;retail > food beverage retail > supermarket;supermarket
telecommunication;Shop selling internet, television or similar services, and related hardware.;shop > electronics > telecommunication;retail > computers electronics retail;computers electronics retail
fountain;A fountain for cultural / decorational / recreational purposes.;amenity > entertainment arts culture > fountain;landmarks outdoors > fountain;fountain
furniture;Shop focused on selling furniture, might range from small decorational items to a whole flat interior;shop > furniture interior > furniture;retail > furniture home store;furniture home store
pyrotechnics;Store of pyrotechnics: fireworks, firecrackers, sparklers etc.;shop > others > pyrotechnics;retail > fireworks store;fireworks store
stage;A raised platform for performers.;amenity > entertainment arts culture > stage;arts entertainment > performing arts venue;performing arts venue
nurse;Nursing. A facility where some nurses may receive their patients.;healthcare > nurse;health medicine > nurse;nurse
interior decoration;Shop focused on selling interior decorations.;shop > furniture interior > interior decoration;retail > furniture home store;furniture home store
mall;A shopping mall �?? multiple stores under one roof (also known as a shopping centre);shop > general store department store mall > mall;retail > shopping mall;shopping mall
plumber;A workplace or office of a skilled tradesperson who specializes in (drinking) water supply, sewage and drainage systems.;craft > plumber;business professional services > home improvement service > plumber;plumber
toilets;A toilet block.;building > civicamenity > toilets;community government > public bathroom;public bathroom
amusement arcade;A venue with pay-to-play games.;leisure > amusement arcade;arts entertainment > arcade;arcade
government;An office of a (supra)national, regional or local government agency or department;office > government;community government > government building > government department;government department
social centre;A place for free and not-for-profit activities.;amenity > entertainment arts culture > social centre;arts entertainment;arts entertainment
hvac;A workplace or office of a person or company that install and maintain HVAC systems (Heating, Ventilating, and Air Conditioning).;craft > hvac;business professional services > home improvement service > heating ventilating air conditioning contractor;heating ventilating air conditioning contractor
subway;Route of a metro service;route > subway;travel transportation;travel transportation
tortilla;Shop focused on selling tortillas.;shop > food beverages > tortilla;retail > food beverage retail;food beverage retail
religion;An office of a community of faith.;office > religion;community government > spiritual center;spiritual center
pharmacy;"Pharmacy: a shop where a pharmacist sells medications
dispensing=yes/no - availability of prescription-only medications";amenity > healthcare > pharmacy;retail > pharmacy;pharmacy
brewing supplies;Shop focused on selling supplies for home brewing of beer, wine and spirits (where permitted).;shop > food beverages > brewing supplies;retail;retail
clinic;A medium-sized medical facility or health centre.;amenity > healthcare > clinic;health medicine > healthcare clinic;healthcare clinic
college;A college building. Use amenity=college on the whole college area to represent the college as an institution.;building > civicamenity > college;community government > education > college university > college academic building;college academic building
detached;A detached house, a free-standing residential building usually housing a single family.;building > accommodation > detached;community government > residential building > home private;home private
lighthouse;Tower that emits light to serve as a navigational aid at sea or on inland waterway;man made > man made > lighthouse;landmarks outdoors > lighthouse;lighthouse
platform;A platform at a bus stop or station.;highway > highway features > platform;travel transportation > platform;platform
car wash;Wash a car;amenity > transportation > car wash;business professional services > automotive service > car wash detail;car wash detail
community centre;"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .";amenity > entertainment arts culture > community centre;community government > cultural center;cultural center
ticket;Shop focused on selling tickets for concerts, events, public transport, �?�;shop > stationery gifts books newspapers > ticket;arts entertainment > ticket seller;ticket seller
artwork;A public piece of art.;tourism > artwork;arts entertainment > public art;public art
video;Shop focused on selling or renting out videos/DVDs.;shop > art music hobbies > video;retail > video store;video store
employment agency;An office for an employment service.;office > employment agency;business professional services > employment agency;employment agency
rental;Shop that rents different kinds of vehicles or (sport) equipment;shop > others > rental;business professional services > rental service;rental service
tailor;A place where clothing is made, repaired, or altered professionally, especially suits and men's clothing;shop > clothing shoes accessories > tailor;business professional services > tailor;tailor
second hand;A shop buying and selling used clothes and other things. See also shop=pawnbroker;shop > discount store charity > second hand;retail > vintage thrift store;vintage thrift store
kiosk;A small one-room retail building.;building > commercial > kiosk;retail;retail
slipway;A slipway: a ramp for launching a boat into water.;leisure > slipway;landmarks outdoors > boat launch;boat launch
car sharing;Share a car;amenity > transportation > car sharing;travel transportation;travel transportation
doors;Shop focused on selling doors;shop > furniture interior > doors;retail > furniture home store;furniture home store
light rail;Route of a light rail line.;route > light rail;travel transportation > transport hub;transport hub
veterinary;A place where a veterinary surgeon, also known as a veterinarian or vet, practices.;amenity > healthcare > veterinary;health medicine > veterinarian;veterinarian
doctors;A doctor's practice / surgery.;amenity > healthcare > doctors;health medicine > physician > general surgeon;general surgeon
station;A station is an area designed to access public transport.;public transport > public transport > station;travel transportation > transportation service > public transportation;public transportation
energy supplier;An office for an energy supplier.;office > energy supplier;community government > utility company;utility company
water;Shop focused on selling drinking water.;shop > food beverages > water;retail > food beverage retail;food beverage retail
funeral directors;"Providing services related to funeral arrangements, may also be known as a ""funeral parlour"" or ""undertakers"".";shop > others > funeral directors;business professional services > funeral home;funeral home
drag lift;An overhead tow-line for skiers and riders.;aerialway > drag lift;sports recreation > snow sports > ski resort area;ski resort area
garden centre;Shop focused on selling potted flowers, maybe even trees (see also shop=florist for flower bouquets).;shop > doityourself household building materials gardening > garden centre;retail > garden center;garden center
tram level crossing;A point where trams and roads cross.;railway > infrastructure > tram level crossing;travel transportation > road > intersection;intersection
security;An office for private security guards;office > security;business professional services > security safety;security safety
telecommunication;An office for a telecommunication company.;office > telecommunication;business professional services > telecommunication service;telecommunication service
monastery;Building/place that is a historically significant monastery.;historic > monastery;community government > spiritual center > monastery;monastery
tram;See Trams for more information on tagging tram services.;route > tram;travel transportation;travel transportation
carpenter;A workplace or office of carpenters that work with timber to construct, install and maintain buildings, furniture, and other objects.;craft > carpenter;business professional services > home improvement service > carpenter;carpenter
rest area;Place where drivers can leave the road to rest, but not refuel.;highway > highway features > rest area;travel transportation > rest area;rest area
bicycle parking;Parking for bicycles;amenity > transportation > bicycle parking;travel transportation > parking;parking
optometrist;"Optometrist; If linked with a shop please use shop=optician instead.";healthcare > optometrist;health medicine > optometrist;optometrist
summer camp;A place for supervised camps for children or teenagers conducted during the summer months.;leisure > summer camp;community government > summer camp;summer camp
taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;aeroway > taxiway;travel transportation > transport hub > airport > airfield;airfield
bureau de change;Bureau de change, money changer, currency exchange, Wechsel, cambio �?? a place to change foreign bank notes and travellers cheques.;amenity > financial > bureau de change;business professional services > financial service > currency exchange;currency exchange
busway;A dedicated roadway for bus rapid transit systems;highway > special road types > busway;travel transportation > transportation service > public transportation > bus line;bus line
financial;An office of a company in the financial sector.;office > financial;business professional services > financial service;financial service
candles;Shop focused on selling candles and candle accessories (holders, etc);shop > furniture interior > candles;retail > furniture home store > housewares store;housewares store
construction company;An office of a building construction company.;office > construction company;business professional services > construction;construction
association;An office of a non-profit organisation, society, e.g. student, sport, consumer, automobile, bike association, etc.;office > association;community government > organization > nonprofit organization;nonprofit organization
shower;Public shower.;amenity > facilities > shower;community government;community government
hospice;A Hospice which provides palliative care to terminal ill people and support to their relatives.;healthcare > hospice;health medicine > hospice;hospice
fire station;A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.;building > civicamenity > fire station;community government > government building > law enforcement public safety > fire station;fire station
tram stop;A tram stop is a place where a passenger can embark / disembark a tram.;railway > stations stops > tram stop;travel transportation > transport hub > tram station;tram station
atm;Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.;amenity > financial > atm;business professional services > financial service > banking finance > atm;atm
electrician;A person or company that works with electricity or electrical systems.;craft > electrician;business professional services > home improvement service > electrician;electrician
canal;The area covered by the water of a canal;water > canal;landmarks outdoors > canal;canal
trolleybus;The route of a trolleybus service.;route > trolleybus;travel transportation > transportation service > public transportation > bus line;bus line
storage rental;self storage;shop > others > storage rental;business professional services > storage facility;storage facility
water utility;The office for a water utility company or water board.;office > water utility;community government > utility company;utility company
sports centre;A building that was built as a sports centre.;building > sports > sports centre;sports recreation > indoor play area;indoor play area
country store;Shop focused on selling rural supplies �?? a range of goods specifically aimed at country dwellers;shop > doityourself household building materials gardening > country store;retail;retail
mtb;Mountain biking explains how to tag mtb routes.;route > mtb;landmarks outdoors > bike trail;bike trail
forestry;A forestry office;office > forestry;business professional services > agriculture forestry service;agriculture forestry service
photographer;A workplace or office of a person who takes photographs using a camera.;craft > photographer;business professional services > photography service > photographer;photographer
groundskeeping;Shop focused on selling outdoor groundskeeping equipment (lawnmowers, chainsaws, small tractors, ...;shop > doityourself household building materials gardening > groundskeeping;retail > garden center;garden center
lounge;A comfortable waiting area for customers, usually found in airports and other transportation hubs. Typically has extra amenities or sustenance.;amenity > facilities > lounge;travel transportation > travel lounge;travel lounge
video games;Shop focused on selling video games.;shop > art music hobbies > video games;retail > computers electronics retail > video games store;video games store
carpet cleaner;A carpet cleaner is a tradesman who specializes in cleaning carpets;craft > carpet cleaner;business professional services > home improvement service > professional cleaning service;professional cleaning service
general;A store that carries a general line of merchandise. (see also shop=convenience if it sells food).;shop > general store department store mall > general;retail > department store;department store
bakery;Shop focused on selling bread;shop > food beverages > bakery;dining drinking > bakery;bakery
art;Shop which sells works of art. May be paintings, sculpture, or other types of art;shop > art music hobbies > art;retail > arts crafts store;arts crafts store
outdoor;Shop focused on selling camping, walking, climbing, and other outdoor sports equipment (GPSes, etc.);shop > outdoors sport vehicles > outdoor;retail > outdoor supply store;outdoor supply store
university;A university building. Use amenity=university for the university as an institution.;building > civicamenity > university;community government > education > college university > college academic building;college academic building
anime;Shop focused on selling anime stuff.;shop > stationery gifts books newspapers > anime;retail > comic book store;comic book store
publisher;An office of a publisher.;office > publisher;business professional services > publisher;publisher
electronics repair;Repair shops and service centres which provides repair of computers, phones, appliance etc.;craft > electronics repair;business professional services > computer repair service;computer repair service
ferry terminal;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.;amenity > transportation > ferry terminal;travel transportation > pier;pier
erotic;Shop focused on selling erotic toys, -clothes or other erotic stuff.;shop > health beauty > erotic;retail > adult store;adult store
laundry;A shop to get your normal clothes washed. Might be self service coin operated, with service staff for drop off, �?�;shop > others > laundry;business professional services > laundromat;laundromat
printer;A small printing business which produces published works such as newspapers, books, magazines, etc.;craft > printer;business professional services > publisher;publisher
insurance;An office at which you can take out insurance policies.;office > insurance;business professional services > insurance agency;insurance agency
surf school;A surf school is an establishment that teaches surfing.;amenity > education > surf school;sports recreation > water sports > surfing;surfing
distillery;An establishment for distilling, especially for distilling alcoholic liquors.;craft > distillery;dining drinking > distillery;distillery
warehouse;A building primarily intended for the storage or goods or as part of a distribution system.;building > commercial > warehouse;business professional services > warehouse;warehouse
bookmaker;A shop that takes bets on sporting and other events at agreed upon odds.;shop > others > bookmaker;retail > betting shop;betting shop
stadium;A major sports facility with substantial tiered seating.;leisure > stadium;arts entertainment > stadium;stadium
stop area group;;public transport > public transport > stop area group;travel transportation > transportation service > public transportation;public transportation
event management;An office offering support for event planning and management;office > event management;business professional services > event service;event service
aquarium;A facility with living aquatic animals for public viewing.;tourism > aquarium;arts entertainment > aquarium;aquarium
