Tag;Tag_depth;Depth_1;Depth_2;Depth_3;Depth_4;Depth_5;Depth_6;definition_en
limo service;3;travel and transportation;transportation service;limo service;;;;A transportation company offering chauffeur-driven luxury cars for hire.
skate store;3;retail;sporting goods retail;skate store;;;;A retail shop selling skateboards, skating equipment, and related apparel.
laundromat;2;business and professional services;laundromat;;;;;A self-service facility with washing machines and dryers for public use.
racquet sport club;3;sports and recreation;racquet sports;racquet sport club;;;;A club offering facilities for sports played with racquets, such as tennis, squash, or badminton.
housing authority;2;community and government;housing authority;;;;;A government agency responsible for providing and managing affordable housing.
research station;2;business and professional services;research station;;;;;A facility dedicated to scientific study, often in remote or specialized environments.
toy store;2;retail;toy store;;;;;A retail shop selling toys, games, and children's products.
dining and drinking;1;dining and drinking;;;;;;A general term for places where people eat and drink, such as restaurants, cafés, and bars.
interior designer;3;business and professional services;home improvement service;interior designer;;;;A professional who plans and creates functional and aesthetically pleasing indoor spaces.
savoyard restaurant;4;dining and drinking;restaurant;french restaurant;savoyard restaurant;;;A restaurant serving cuisine from the Savoy region of France, often featuring cheese-based dishes like fondue and raclette.
employment agency;2;business and professional services;employment agency;;;;;A business that matches job seekers with potential employers.
shaanxi restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;shaanxi restaurant;;A restaurant specializing in Shaanxi cuisine from northwestern China, known for its noodles and lamb dishes.
bridal store;3;retail;fashion retail;bridal store;;;;A shop selling wedding dresses, accessories, and related items.
neurologist;3;health and medicine;physician;neurologist;;;;A doctor specializing in diagnosing and treating disorders of the nervous system.
promotional item service;2;business and professional services;promotional item service;;;;;A business providing customized items for marketing and advertising purposes.
public and social service;2;community and government;public and social service;;;;;An organization that provides assistance and support to the community, often funded by the government.
kofte place;4;dining and drinking;restaurant;turkish restaurant;kofte place;;;A restaurant or food stand specializing in kofte, spiced meatballs common in Middle Eastern and Balkan cuisine.
hong kong restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;hong kong restaurant;;A restaurant serving dishes from Hong Kong cuisine, blending Cantonese traditions with international influences.
squash court;3;sports and recreation;racquet sports;squash court;;;;An indoor court where the sport of squash is played.
botanical garden;2;landmarks and outdoors;botanical garden;;;;;A garden dedicated to the collection, cultivation, and display of a wide range of plants.
animal shelter;2;community and government;animal shelter;;;;;A facility that houses and cares for stray, lost, or abandoned animals.
bus line;4;travel and transportation;transportation service;public transportation;bus line;;;A public transportation service operating buses along a specific route.
hospital;2;health and medicine;hospital;;;;;A healthcare institution providing treatment and care for sick or injured people.
skating rink;3;sports and recreation;skating;skating rink;;;;A facility with a smooth surface for ice skating or roller skating.
aquarium;2;arts and entertainment;aquarium;;;;;A facility where aquatic animals and plants are displayed for public viewing.
organic grocery;4;retail;food and beverage retail;grocery store;organic grocery;;;A store selling food and products produced without synthetic pesticides or chemicals.
gym;3;sports and recreation;gym and studio;gym;;;;A facility equipped for physical exercise and training.
mobility store;2;retail;mobility store;;;;;A shop selling equipment and aids for people with mobility challenges.
indian restaurant;3;dining and drinking;restaurant;indian restaurant;;;;A restaurant serving Indian cuisine, often rich in spices and diverse in regional dishes.
rental service;2;business and professional services;rental service;;;;;A business that rents items, vehicles, or equipment to customers for a period of time.
tire repair shop;3;business and professional services;automotive service;tire repair shop;;;;A shop specializing in fixing and replacing damaged tires for vehicles.
north indian restaurant;4;dining and drinking;restaurant;indian restaurant;north indian restaurant;;;A restaurant serving cuisine from northern India, such as curries, tandoori dishes, and naan bread.
warehouse;2;business and professional services;warehouse;;;;;A large building where goods are stored before distribution or sale.
donut shop;2;dining and drinking;donut shop;;;;;A store specializing in selling donuts and related pastries.
martial arts dojo;2;sports and recreation;martial arts dojo;;;;;A training hall where martial arts are taught and practiced.
ski lodge;3;sports and recreation;snow sports;ski lodge;;;;A building near ski slopes providing accommodation, food, and other amenities for skiers.
fence contractor;3;business and professional services;home improvement service;fence contractor;;;;A professional or company that installs and repairs fences.
search engine marketing and optimization service;2;business and professional services;search engine marketing and optimization service;;;;;A service that helps businesses improve their visibility and ranking on search engines.
herbs and spices store;3;retail;food and beverage retail;herbs and spices store;;;;A shop selling culinary herbs, spices, and seasonings.
marche restaurant;4;dining and drinking;restaurant;italian restaurant;marche restaurant;;;A restaurant offering market-fresh ingredients in its dishes, often French-inspired.
basketball stadium;3;arts and entertainment;stadium;basketball stadium;;;;A large venue designed for hosting basketball games and events.
paper supplier;2;business and professional services;paper supplier;;;;;A business that provides paper products for offices, schools, or other organizations.
sake bar;3;dining and drinking;bar;sake bar;;;;A bar specializing in serving sake, the Japanese rice wine.
awadhi restaurant;4;dining and drinking;restaurant;indian restaurant;awadhi restaurant;;;A restaurant offering Awadhi cuisine from Lucknow, India, known for slow-cooked kebabs and biryanis.
malga;4;dining and drinking;restaurant;italian restaurant;malga;;;A mountain hut or dairy farm in the Italian Alps where cheese is produced.
magirio;4;dining and drinking;restaurant;greek restaurant;magirio;;;A Greek eatery specializing in traditional Greek home-cooked meals.
bathing area;2;landmarks and outdoors;bathing area;;;;;A designated space for swimming or bathing, often in a pool or natural water body.
mover;3;business and professional services;home improvement service;mover;;;;A company or person providing services to transport household or office goods from one location to another.
hiking trail;2;landmarks and outdoors;hiking trail;;;;;A path or route designed for walking and trekking in natural environments.
palatine restaurant;4;dining and drinking;restaurant;german restaurant;palatine restaurant;;;A restaurant serving cuisine from the Palatinate region of Germany.
boutique;2;retail;boutique;;;;;A small shop specializing in fashionable clothing, accessories, or luxury items.
market research and consulting service;2;business and professional services;market research and consulting service;;;;;A company providing analysis and advice on market trends and business strategies.
student center;4;community and government;education;college and university;student center;;;A building on a college campus providing services, activities, and meeting spaces for students.
southern food restaurant;3;dining and drinking;restaurant;southern food restaurant;;;;A restaurant serving cuisine from the southern United States, like fried chicken, barbecue, and collard greens.
ballroom;2;business and professional services;ballroom;;;;;A large room designed for formal dances, events, or social gatherings.
club house;3;community and government;organization;club house;;;;A building used as a social center for members of a club or recreational facility.
fruit and vegetable store;3;retail;food and beverage retail;fruit and vegetable store;;;;A retail shop selling fresh fruits and vegetables.
souvlaki shop;4;dining and drinking;restaurant;greek restaurant;souvlaki shop;;;A restaurant or stand specializing in souvlaki, Greek grilled meat skewers.
irish pub;3;dining and drinking;bar;irish pub;;;;A pub serving Irish-style food and drinks, often with traditional music and décor.
library;2;community and government;library;;;;;A facility that houses books, media, and resources for public or educational use.
lounge;3;dining and drinking;bar;lounge;;;;A comfortable area or bar for relaxing and socializing.
oil change service;3;business and professional services;automotive service;oil change service;;;;A service center that replaces old motor oil with fresh oil in vehicles.
campanian restaurant;4;dining and drinking;restaurant;italian restaurant;campanian restaurant;;;A restaurant offering cuisine from the Campania region of Italy, including pizza and pasta dishes.
calabria restaurant;4;dining and drinking;restaurant;italian restaurant;calabria restaurant;;;A restaurant specializing in dishes from the Calabria region of Italy, often spicy and flavorful.
college track;4;community and government;education;college and university;college track;;;An athletic track at a college for running, jogging, or track and field events.
video games store;3;retail;computers and electronics retail;video games store;;;;A retail shop selling video games, consoles, and related accessories.
rock club;4;arts and entertainment;performing arts venue;music venue;rock club;;;A venue that hosts live rock music performances.
ice bar;3;dining and drinking;bar;ice bar;;;;A bar made entirely of ice, including walls, furniture, and drink glasses.
cycle studio;3;sports and recreation;gym and studio;cycle studio;;;;A fitness studio offering indoor cycling or spinning classes.
arts and entertainment;1;arts and entertainment;;;;;;A general term for venues, organizations, or activities related to art, music, theater, and other forms of entertainment.
kafenio;4;dining and drinking;restaurant;greek restaurant;kafenio;;;A traditional Greek café serving coffee, drinks, and light snacks.
shopping plaza;2;retail;shopping plaza;;;;;A group of retail stores and businesses located in one complex.
mini golf course;2;arts and entertainment;mini golf course;;;;;A small-scale, themed golf course designed for putting games.
synagogue;3;community and government;spiritual center;synagogue;;;;A Jewish house of worship and community gathering.
distillery;2;dining and drinking;distillery;;;;;A facility where alcoholic beverages, like whiskey or vodka, are produced.
senior citizen service;2;community and government;senior citizen service;;;;;An organization providing support and services for elderly people.
escape room;2;arts and entertainment;escape room;;;;;A recreational game where participants solve puzzles to exit a themed room within a time limit.
scuba diving instructor;3;sports and recreation;water sports;scuba diving instructor;;;;A professional who teaches people how to scuba dive safely and properly.
kushikatsu restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;kushikatsu restaurant;;A Japanese restaurant specializing in kushikatsu, skewered and deep-fried meat or vegetables.
mongolian restaurant;4;dining and drinking;restaurant;asian restaurant;mongolian restaurant;;;A restaurant offering Mongolian cuisine, often featuring stir-fried meats and vegetables.
flight school;3;community and government;education;flight school;;;;An institution where individuals are trained to become pilots.
summer camp;2;community and government;summer camp;;;;;A program for children or teens during summer, offering recreational, educational, and social activities.
hawaiian restaurant;3;dining and drinking;restaurant;hawaiian restaurant;;;;A restaurant serving Hawaiian cuisine, including poke, seafood, and tropical dishes.
rafting spot;3;sports and recreation;water sports;rafting spot;;;;A location suitable for white-water rafting activities.
health and beauty service;2;business and professional services;health and beauty service;;;;;A business providing services related to personal care, wellness, and aesthetics.
hainan restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;hainan restaurant;;A restaurant specializing in Hainan cuisine from southern China, famous for chicken rice dishes.
medical supply store;2;retail;medical supply store;;;;;A shop selling equipment and supplies for medical or healthcare purposes.
personal trainer;2;sports and recreation;personal trainer;;;;;A professional who provides individualized fitness training and exercise guidance.
bridge;2;landmarks and outdoors;bridge;;;;;A structure built to span obstacles like rivers, roads, or valleys to allow passage.
botanero;4;dining and drinking;restaurant;mexican restaurant;botanero;;;A Spanish or Latin American eatery serving small snacks or tapas, often with drinks.
medical school;4;community and government;education;college and university;medical school;;;An educational institution training students to become doctors.
general travel;2;travel and transportation;general travel;;;;;Services or businesses offering trips, tours, and travel arrangements.
department store;2;retail;department store;;;;;A large retail store selling a wide variety of goods, including clothing, electronics, and home items.
island;2;landmarks and outdoors;island;;;;;A landmass surrounded by water.
franconian restaurant;4;dining and drinking;restaurant;german restaurant;franconian restaurant;;;A restaurant serving cuisine from the Franconia region of Germany.
housewares store;3;retail;furniture and home store;housewares store;;;;A shop selling household items like cookware, utensils, and home goods.
plaza;2;landmarks and outdoors;plaza;;;;;A public square or open area in a town or city.
bookstore;2;retail;bookstore;;;;;A retail shop selling books and reading materials.
fishing area;2;sports and recreation;fishing area;;;;;A designated place where people can fish, often managed or stocked for recreation.
waste management service;2;business and professional services;waste management service;;;;;A company or organization responsible for collecting and disposing of waste safely.
singaporean restaurant;4;dining and drinking;restaurant;asian restaurant;singaporean restaurant;;;A restaurant serving Singaporean cuisine, which blends Chinese, Malay, Indian, and Western influences.
supermarket;3;retail;food and beverage retail;supermarket;;;;A large store selling groceries and household items.
anesthesiologist;3;health and medicine;physician;anesthesiologist;;;;A medical doctor specializing in administering anesthesia and managing pain during surgery.
engineer;2;business and professional services;engineer;;;;;A professional who designs, builds, or maintains machines, structures, or systems.
cave;2;landmarks and outdoors;cave;;;;;A natural underground hollow or chamber in a rock formation.
harbor or marina;2;landmarks and outdoors;harbor or marina;;;;;A sheltered place along the coast where boats and ships can dock or anchor.
geological service;2;business and professional services;geological service;;;;;A company or organization providing analysis and information about earth materials and structures.
bangladeshi restaurant;3;dining and drinking;restaurant;bangladeshi restaurant;;;;A restaurant serving cuisine from Bangladesh, often featuring rice, curry, and lentil dishes.
caribbean restaurant;3;dining and drinking;restaurant;caribbean restaurant;;;;A restaurant offering dishes from the Caribbean islands, with tropical flavors and spices.
soba restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;soba restaurant;;A Japanese restaurant specializing in soba, thin buckwheat noodles.
petroleum supplier;2;business and professional services;petroleum supplier;;;;;A company that sells petroleum products like gasoline, diesel, or oil.
bbq joint;3;dining and drinking;restaurant;bbq joint;;;;A casual restaurant specializing in barbecue-style grilled meats.
computer training school;3;community and government;education;computer training school;;;;An institution offering courses and instruction in computer skills and software.
seafood restaurant;3;dining and drinking;restaurant;seafood restaurant;;;;A restaurant specializing in dishes made from fish and other seafood.
car parts and accessories;3;retail;automotive retail;car parts and accessories;;;;A store providing automotive parts, components, and accessories.
mediterranean restaurant;3;dining and drinking;restaurant;mediterranean restaurant;;;;A restaurant serving cuisine from the Mediterranean region, featuring olive oil, seafood, and fresh vegetables.
street art;3;arts and entertainment;public art;street art;;;;Art created in public spaces, often graffiti, murals, or installations.
convention center;2;business and professional services;convention center;;;;;A large building designed to host conferences, exhibitions, and events.
xinjiang restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;xinjiang restaurant;;A restaurant offering cuisine from Xinjiang, China, often with lamb and spicy flavors.
plumber;3;business and professional services;home improvement service;plumber;;;;A professional who installs and repairs piping systems for water, gas, or sewage.
college library;4;community and government;education;college and university;college library;;;A library located on a college campus, providing academic resources to students and staff.
landmarks and outdoors;1;landmarks and outdoors;;;;;;Famous sites, natural or man-made, and outdoor areas for tourism or recreation.
airport ticket counter;4;travel and transportation;transport hub;airport;airport ticket counter;;;A service desk at an airport where passengers can buy or collect flight tickets.
ramen restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;ramen restaurant;;A Japanese restaurant specializing in ramen, a noodle soup dish with various toppings.
drive-in theater;3;arts and entertainment;movie theater;drive-in theater;;;;An outdoor cinema where people watch movies from their cars.
burrito restaurant;4;dining and drinking;restaurant;mexican restaurant;burrito restaurant;;;A restaurant serving burritos, a Mexican dish with a tortilla wrapped around fillings.
airport gate;4;travel and transportation;transport hub;airport;airport gate;;;The area in an airport where passengers board or disembark from an aircraft.
state;3;landmarks and outdoors;states and municipalities;state;;;;A politically organized territory with its own government.
tatar restaurant;4;dining and drinking;restaurant;eastern european restaurant;tatar restaurant;;;A restaurant serving Tatar cuisine, featuring dishes from the Tatar ethnic group, often including meat and pastries.
dizi place;5;dining and drinking;restaurant;middle eastern restaurant;persian restaurant;dizi place;;A place where dizi music is played or performed.
soccer store;3;retail;sporting goods retail;soccer store;;;;A shop selling soccer equipment and apparel.
rooftop bar;3;dining and drinking;bar;rooftop bar;;;;A bar located on the roof of a building.
water sports;2;sports and recreation;water sports;;;;;Activities or sports performed on or in the water.
art studio;2;business and professional services;art studio;;;;;A space where artists create or display art.
military base;4;community and government;government building;military;military base;;;A facility used by armed forces for operations and training.
medical center;2;health and medicine;medical center;;;;;A facility providing healthcare services.
alsatian restaurant;4;dining and drinking;restaurant;french restaurant;alsatian restaurant;;;A restaurant serving Alsatian cuisine.
drugstore;2;retail;drugstore;;;;;A store selling medicines, health products, and sometimes food.
skating;2;sports and recreation;skating;;;;;The activity of moving on skates over a surface.
track stadium;3;arts and entertainment;stadium;track stadium;;;;A stadium designed for track and field events.
business broker;3;business and professional services;financial service;business broker;;;;A professional who helps buy and sell businesses.
modern greek restaurant;4;dining and drinking;restaurant;greek restaurant;modern greek restaurant;;;A restaurant serving contemporary Greek dishes.
dive store;3;retail;sporting goods retail;dive store;;;;A shop selling scuba diving or snorkeling equipment.
gukbap restaurant;5;dining and drinking;restaurant;asian restaurant;korean restaurant;gukbap restaurant;;A restaurant serving Korean soup with rice.
roofer;3;business and professional services;home improvement service;roofer;;;;A person or service that installs or repairs roofs.
knitting store;2;retail;knitting store;;;;;A shop selling yarn, knitting tools, and supplies.
music venue;3;arts and entertainment;performing arts venue;music venue;;;;A place where live music is performed.
mughlai restaurant;4;dining and drinking;restaurant;indian restaurant;mughlai restaurant;;;A restaurant serving Mughlai cuisine from South Asia.
upholstery service;3;business and professional services;home improvement service;upholstery service;;;;A service that repairs or replaces furniture coverings.
soccer field;3;sports and recreation;soccer;soccer field;;;;A field used for playing soccer.
karaoke bar;3;dining and drinking;bar;karaoke bar;;;;A bar where patrons sing along to recorded music.
line;2;event;line;;;;;"A service or queue; context-dependent."
water park;2;arts and entertainment;water park;;;;;A recreational area with water-based attractions.
rugby stadium;3;arts and entertainment;stadium;rugby stadium;;;;A stadium designed for rugby matches.
online advertising service;2;business and professional services;online advertising service;;;;;A service that promotes businesses on the internet.
turkish coffeehouse;4;dining and drinking;restaurant;turkish restaurant;turkish coffeehouse;;;A place serving traditional Turkish coffee.
shoe repair service;2;business and professional services;shoe repair service;;;;;A service that fixes or refurbishes shoes.
historic and protected site;2;landmarks and outdoors;historic and protected site;;;;;A location preserved for historical or cultural significance.
hair salon;3;business and professional services;health and beauty service;hair salon;;;;A place where hair is cut, styled, or treated.
sausage store;3;retail;food and beverage retail;sausage store;;;;A shop selling sausages and related products.
big box store;2;retail;big box store;;;;;A large retail store, typically part of a chain.
kebab restaurant;3;dining and drinking;restaurant;kebab restaurant;;;;A restaurant specializing in kebabs.
tempura restaurant;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;tempura restaurant;;A restaurant serving Japanese tempura dishes.
golf;2;sports and recreation;golf;;;;;The sport played on a golf course.
discount store;2;retail;discount store;;;;;A store selling goods at reduced prices.
hot spring;2;landmarks and outdoors;hot spring;;;;;A natural spring of geothermally heated water.
dhaba;4;dining and drinking;restaurant;indian restaurant;dhaba;;;A roadside eatery, usually in India or Pakistan.
travel lounge;2;travel and transportation;travel lounge;;;;;A comfortable area for travelers to rest or wait.
patsa restaurant;4;dining and drinking;restaurant;greek restaurant;patsa restaurant;;;A restaurant serving Patsa cuisine (or specialty dish).
golf driving range;3;sports and recreation;golf;golf driving range;;;;A facility where golfers practice hitting balls.
tourist information and service;2;travel and transportation;tourist information and service;;;;;A center providing guidance and services for tourists.
swimming;3;sports and recreation;water sports;swimming;;;;The activity of moving through water by using limbs.
tram station;3;travel and transportation;transport hub;tram station;;;;A stop or station for trams or streetcars.
comedy club;2;arts and entertainment;comedy club;;;;;A venue where comedians perform live.
multiplex;3;arts and entertainment;movie theater;multiplex;;;;A cinema with multiple screens showing different movies.
snack place;2;dining and drinking;snack place;;;;;A small eatery serving light meals or snacks.
turşucu shop;3;retail;food and beverage retail;turşucu shop;;;;A shop selling pickled foods (Turkish style).
wagashi place;5;dining and drinking;restaurant;asian restaurant;japanese restaurant;wagashi place;;A shop or café serving traditional Japanese sweets.
psychiatrist;3;health and medicine;physician;psychiatrist;;;;A medical professional specializing in mental health.
beer garden;3;dining and drinking;bar;beer garden;;;;An outdoor area where beer and food are served.
cabin;3;travel and transportation;lodging;cabin;;;;A small shelter or house, usually in a natural setting.
elementary school;4;community and government;education;primary and secondary school;elementary school;;;A school for young children, typically grades 1–5.
electrician;3;business and professional services;home improvement service;electrician;;;;A professional who installs or repairs electrical systems.
computers and electronics retail;2;retail;computers and electronics retail;;;;;A store selling computers and electronic devices.
smoke shop;2;retail;smoke shop;;;;;A store selling tobacco, cigars, and related products.
smog check shop;3;business and professional services;automotive service;smog check shop;;;;A service station testing vehicle emissions.
neighborhood;3;landmarks and outdoors;states and municipalities;neighborhood;;;;A residential area within a city or town.
waffle shop;3;dining and drinking;dessert shop;waffle shop;;;;A shop or café specializing in waffles.
pool hall;2;arts and entertainment;pool hall;;;;;A venue for playing billiards or pool.
hotpot restaurant;4;dining and drinking;restaurant;asian restaurant;hotpot restaurant;;;A restaurant serving Chinese-style hotpot dishes.
hakka restaurant;5;dining and drinking;restaurant;asian restaurant;chinese restaurant;hakka restaurant;;A restaurant serving Hakka cuisine from China.
management consultant;2;business and professional services;management consultant;;;;;A professional providing business advice.
writing, copywriting and technical writing service;2;business and professional services;writing, copywriting and technical writing service;;;;;Services creating written content for various purposes.
