word,definition_en
geological service,A company or organization providing analysis and information about earth materials and structures.
bangladeshi restaurant,"A restaurant serving cuisine from Bangladesh, often featuring rice, curry, and lentil dishes."
caribbean restaurant,"A restaurant offering dishes from the Caribbean islands, with tropical flavors and spices."
soba restaurant,"A Japanese restaurant specializing in soba, thin buckwheat noodles."
petroleum supplier,"A company that sells petroleum products like gasoline, diesel, or oil."
bbq joint,A casual restaurant specializing in barbecue-style grilled meats.
computer training school,An institution offering courses and instruction in computer skills and software.
seafood restaurant,A restaurant specializing in dishes made from fish and other seafood.
car parts and accessories,"A store providing automotive parts, components, and accessories."
mediterranean restaurant,"A restaurant serving cuisine from the Mediterranean region, featuring olive oil, seafood, and fresh vegetables."
street art,"Art created in public spaces, often graffiti, murals, or installations."
convention center,"A large building designed to host conferences, exhibitions, and events."
xinjiang restaurant,"A restaurant offering cuisine from Xinjiang, China, often with lamb and spicy flavors."
plumber,"A professional who installs and repairs piping systems for water, gas, or sewage."
college library,"A library located on a college campus, providing academic resources to students and staff."
landmarks and outdoors,"Famous sites, natural or man-made, and outdoor areas for tourism or recreation."
airport ticket counter,A service desk at an airport where passengers can buy or collect flight tickets.
ramen restaurant,"A Japanese restaurant specializing in ramen, a noodle soup dish with various toppings."
drive-in theater,An outdoor cinema where people watch movies from their cars.
burrito restaurant,"A restaurant serving burritos, a Mexican dish with a tortilla wrapped around fillings."
airport gate,The area in an airport where passengers board or disembark from an aircraft.
state,A politically organized territory with its own government.
tatar restaurant,"A restaurant serving Tatar cuisine, featuring dishes from the Tatar ethnic group, often including meat and pastries."
dizi place,A place where dizi music is played or performed.
soccer store,A shop selling soccer equipment and apparel.
rooftop bar,A bar located on the roof of a building.
water sports,Activities or sports performed on or in the water.
art studio,A space where artists create or display art.
military base,A facility used by armed forces for operations and training.
medical center,A facility providing healthcare services.
alsatian restaurant,A restaurant serving Alsatian cuisine.
drugstore,"A store selling medicines, health products, and sometimes food."
skating,The activity of moving on skates over a surface.
track stadium,A stadium designed for track and field events.
business broker,A professional who helps buy and sell businesses.
modern greek restaurant,A restaurant serving contemporary Greek dishes.
dive store,A shop selling scuba diving or snorkeling equipment.
gukbap restaurant,A restaurant serving Korean soup with rice.
roofer,A person or service that installs or repairs roofs.
knitting store,"A shop selling yarn, knitting tools, and supplies."
music venue,A place where live music is performed.
mughlai restaurant,A restaurant serving Mughlai cuisine from South Asia.
upholstery service,A service that repairs or replaces furniture coverings.
soccer field,A field used for playing soccer.
karaoke bar,A bar where patrons sing along to recorded music.
line,A service or queue; context-dependent.
water park,A recreational area with water-based attractions.
rugby stadium,A stadium designed for rugby matches.
online advertising service,A service that promotes businesses on the internet.
turkish coffeehouse,A place serving traditional Turkish coffee.
shoe repair service,A service that fixes or refurbishes shoes.
historic and protected site,A location preserved for historical or cultural significance.
hair salon,"A place where hair is cut, styled, or treated."
sausage store,A shop selling sausages and related products.
big box store,"A large retail store, typically part of a chain."
kebab restaurant,A restaurant specializing in kebabs.
tempura restaurant,A restaurant serving Japanese tempura dishes.
golf,The sport played on a golf course.
discount store,A store selling goods at reduced prices.
hot spring,A natural spring of geothermally heated water.
dhaba,"A roadside eatery, usually in India or Pakistan."
travel lounge,A comfortable area for travelers to rest or wait.
patsa restaurant,A restaurant serving Patsa cuisine (or specialty dish).
golf driving range,A facility where golfers practice hitting balls.
tourist information and service,A center providing guidance and services for tourists.
swimming,The activity of moving through water by using limbs.
tram station,A stop or station for trams or streetcars.
comedy club,A venue where comedians perform live.
multiplex,A cinema with multiple screens showing different movies.
snack place,A small eatery serving light meals or snacks.
turşucu shop,A shop selling pickled foods (Turkish style).
wagashi place,A shop or café serving traditional Japanese sweets.
psychiatrist,A medical professional specializing in mental health.
beer garden,An outdoor area where beer and food are served.
cabin,"A small shelter or house, usually in a natural setting."
elementary school,"A school for young children, typically grades 1–5."
electrician,A professional who installs or repairs electrical systems.
computers and electronics retail,A store selling computers and electronic devices.
smoke shop,"A store selling tobacco, cigars, and related products."
smog check shop,A service station testing vehicle emissions.
neighborhood,A residential area within a city or town.
waffle shop,A shop or café specializing in waffles.
pool hall,A venue for playing billiards or pool.
hotpot restaurant,A restaurant serving Chinese-style hotpot dishes.
hakka restaurant,A restaurant serving Hakka cuisine from China.
management consultant,A professional providing business advice.
"writing, copywriting and technical writing service",Services creating written content for various purposes.
new american restaurant,A restaurant serving contemporary American cuisine.
rubber supplier,A business selling rubber materials or products.
office,A place where professional or administrative work is done.
windmill,A structure that converts wind energy into mechanical energy.
coffee roaster,A place or service roasting coffee beans.
modern european restaurant,A restaurant serving contemporary European cuisine.
shopping mall,A large building with many retail stores.
lyonese bouchon,A restaurant serving traditional Lyon cuisine from France.
college classroom,A room where college courses are taught.
lodge,A small hotel or accommodation in a natural area.
state or provincial park,A protected natural area managed by local government.
abruzzo restaurant,A restaurant serving cuisine from the Abruzzo region of Italy.
basilicata restaurant,A restaurant serving cuisine from the Basilicata region of Italy.
gelato shop,A shop specializing in Italian-style ice cream.
business service,A company providing support services to other businesses.
airport tram station,A tram station located at or near an airport.
lgbtq organization,An organization supporting LGBTQ+ communities.
dumpling restaurant,A restaurant specializing in dumplings.
bunsik restaurant,A restaurant serving Korean fast food or street food.
vegan and vegetarian restaurant,A restaurant serving plant-based dishes.
taxi,A vehicle for hire to transport passengers.
corporate cafeteria,A dining area for employees of a company.
indoor play area,A space for children to play inside.
poutine restaurant,"A restaurant serving poutine, a Canadian dish."
automotive repair shop,A shop fixing and maintaining vehicles.
macanese restaurant,A restaurant serving Macanese cuisine from Macau.
hunting supply store,A shop selling hunting gear and equipment.
fair,"A gathering with rides, games, or exhibitions."
emergency service,"A service responding to urgent situations, like police, fire, or medical."
translation service,A service converting text or speech from one language to another.
hot dog joint,A small restaurant or stand selling hot dogs.
university,An institution of higher education and research.
bus stop,A designated place where buses pick up or drop off passengers.
credit counseling and bankruptcy service,Services helping people manage debt or file for bankruptcy.
theater,"A venue for performing plays, musicals, or movies."
lombard restaurant,"A restaurant serving cuisine from Lombardy, Italy."
fondue restaurant,"A restaurant specializing in fondue, a melted cheese or chocolate dish."
udupi restaurant,"A restaurant serving South Indian Udupi cuisine, typically vegetarian."
fashion retail,"A store selling clothing, shoes, and fashion accessories."
marijuana dispensary,A store legally selling cannabis products.
clothing store,A shop selling clothes.
bosnian restaurant,A restaurant serving Bosnian cuisine.
goiano restaurant,"A restaurant serving Goiano cuisine from Goiás, Brazil."
"print, tv, radio and outdoor advertising service","A service creating advertisements for print, TV, radio, or outdoor media."
terreiro,A place for Afro-Brazilian religious ceremonies.
boat or ferry,A vessel used for water transport of people or goods.
swim school,A school teaching swimming skills.
weight loss center,A facility providing programs to help people lose weight.
fountain,A decorative water feature that sprays or circulates water.
baseball field,A field used for playing baseball.
goan restaurant,"A restaurant serving Goan cuisine from Goa, India."
bagel shop,A shop specializing in bagels and related products.
power plant,A facility that generates electricity.
other healthcare professional,"A medical professional not otherwise categorized, such as therapists or technicians."
post office,A facility providing mail services.
gujarati restaurant,A restaurant serving Gujarati cuisine from India.
burmese restaurant,A restaurant serving Burmese cuisine.
college cricket pitch,A cricket field located on a college campus.
language school,A school teaching foreign or second languages.
trentino restaurant,"A restaurant serving cuisine from Trentino, Italy."
youth organization,An organization providing activities or support for young people.
temple,"A place of worship, typically in religions like Hinduism or Buddhism."
friterie,"A place selling fried foods, typically fries or snacks."
electric vehicle charging station,A facility where electric vehicles can recharge their batteries.
northeast indian restaurant,A restaurant serving cuisine from Northeast India.
hobby store,A shop selling materials for hobbies and crafts.
nursery school,"A school for very young children, typically under age 5."
nutritionist,A professional providing dietary and nutrition advice.
bubble tea shop,"A shop serving bubble tea, a Taiwanese tea-based drink with tapioca pearls."
health food store,"A store selling natural, organic, or health-oriented foods."
sports club,An organization or facility for playing sports.
rhenisch restaurant,A restaurant serving cuisine from the Rhineland region of Germany.
warehouse or wholesale store,A large store selling goods in bulk.
stadium,A large venue for sports or events.
automation and control system,A system that automates industrial or mechanical processes.
apple wine pub,A pub serving apple wine and related drinks.
cidery,A place producing or selling cider.
veterans' organization,An organization supporting military veterans.
korean restaurant,A restaurant serving Korean cuisine.
unagi restaurant,"A restaurant specializing in eel dishes, common in Japan."
romagna restaurant,"A restaurant serving cuisine from Romagna, Italy."
bossam/jokbal restaurant,A restaurant serving Korean pork dishes bossam or jokbal.
jazz and blues venue,A venue hosting live jazz and blues music performances.
yakitori restaurant,A restaurant serving Japanese skewered grilled chicken.
non-profit organization,An organization that operates for public or social benefit rather than profit.
arts and crafts store,A shop selling art supplies and craft materials.
african restaurant,A restaurant serving African cuisine.
dam,A barrier built to hold back water.
field,"An open area of land used for agriculture, sports, or other purposes."
tonkatsu restaurant,A restaurant serving Japanese breaded and fried pork cutlets.
police station,A facility housing police officers and administration.
food stand,"A small setup selling food, often street food."
northeastern brazilian restaurant,A restaurant serving cuisine from Northeast Brazil.
apartment or condo,A residential unit in a larger building or complex.
movie theater,A venue where films are shown.
legal service,A service providing legal advice or representation.
memorial site,A location dedicated to remembering people or events.
nurse,A healthcare professional providing patient care.
gluten-free restaurant,A restaurant serving food without gluten ingredients.
corsican restaurant,"A restaurant serving cuisine from Corsica, France."
hockey rink,An arena or surface for playing hockey.
airport service,Services provided at an airport for travelers or aircraft.
fish taverna,"A restaurant serving fish and seafood, typically Mediterranean style."
body piercing shop,A shop providing body piercing services.
photography studio,A studio for taking professional photographs.
motorsports store,A shop selling equipment or merchandise for motorsports.
russian restaurant,A restaurant serving Russian cuisine.
baseball store,A store selling baseball equipment and apparel.
polish restaurant,A restaurant serving Polish cuisine.
bingo center,A venue where bingo games are played.
palace,"A large and impressive building, typically a royal residence."
stoop sale,"A small, informal sale of items outside a home, similar to a garage sale."
roller rink,A venue for roller skating.
other event,A general term for an event not categorized elsewhere.
shoe store,A store selling shoes.
garden,An outdoor area with plants and flowers.
chaat place,"A shop or stand serving chaat, an Indian street food."
recycling facility,A place where materials are collected and processed for recycling.
wine store,A shop selling wine and related beverages.
airport food court,A section of an airport with multiple food vendors.
college technology building,A campus building housing technology or engineering departments.
cigkofte place,"A shop serving çiğ köfte, a Turkish dish made with raw ingredients."
janguh restaurant,A restaurant serving Janguh cuisine (specific or regional Korean dishes).
poke restaurant,A restaurant serving Hawaiian-style poke bowls with raw fish.
australian restaurant,A restaurant serving Australian cuisine.
filipino restaurant,A restaurant serving Filipino cuisine.
volleyball court,A court for playing volleyball.
curling ice,An ice surface for playing curling.
doctor's office,A facility where a physician sees and treats patients.
concert hall,A venue for live music performances.
law enforcement and public safety,"Organizations providing policing, fire, or safety services."
college soccer field,A soccer field located on a college campus.
huaiyang restaurant,A restaurant serving Huaiyang cuisine from China.
bank,A financial institution managing money and transactions.
private airport,"An airport used privately, often for personal or corporate planes."
ski chairlift,A lift carrying skiers up a slope.
lodging,Accommodation where travelers can stay overnight.
indian chinese restaurant,A restaurant serving a fusion of Indian and Chinese cuisine.
performing arts venue,"A location where live performances such as theater, dance, or music take place."
train,A series of connected vehicles traveling on railways for transporting people or goods.
night club,"An entertainment venue open at night, often with music, dancing, and drinks."
gozleme place,"A shop or restaurant serving gozleme, a traditional Turkish flatbread with fillings."
tree service,"A business providing tree care, maintenance, or removal."
sporting goods retail,A store selling equipment and apparel for sports.
culinary school,An educational institution teaching cooking and food preparation skills.
moving target,An object or person in motion used for shooting practice or metaphorically as a changing goal.
tanning salon,A facility offering tanning beds or spray tans.
disabled persons service,Services specifically assisting people with disabilities.
soccer stadium,A stadium used for playing or watching soccer.
creative service,"A business providing design, art, or media production services."
mac and cheese joint,A restaurant specializing in macaroni and cheese dishes.
film studio,A facility where movies or television shows are produced.
homeless shelter,A facility providing temporary housing and support for homeless individuals.
mineiro restaurant,"A restaurant serving cuisine from Minas Gerais, Brazil."
tsipouro restaurant,"A restaurant serving Greek tsipouro, a distilled spirit, often with small dishes."
campground,An area designated for camping with tents or RVs.
gastroenterologist,A medical specialist treating digestive system disorders.
american restaurant,A restaurant serving American cuisine.
college arts building,"A college building housing art studios, classrooms, or galleries."
garden center,"A retail location selling plants, gardening tools, and landscaping supplies."
ambulance service,A service providing emergency medical transport.
café,"A small restaurant serving coffee, beverages, and light meals."
athletic field,An outdoor area designated for sports or physical activities.
restaurant,An establishment where meals are served to customers.
molise restaurant,"A restaurant serving cuisine from Molise, Italy."
event,A planned public or social occasion.
greek restaurant,A restaurant serving Greek cuisine.
beer bar,A bar specializing in serving beer.
vr cafe,A café offering virtual reality gaming or experiences.
trade fair,An event where businesses showcase products or services.
banking and finance,Institutions and services related to money management and investment.
utility company,"A company providing essential services such as electricity, water, or gas."
dry cleaner,A service that cleans clothes using chemical solvents.
peruvian roast chicken joint,A restaurant specializing in Peruvian-style roast chicken.
toll booth,A structure where drivers pay fees to use a road or bridge.
conference room,A room designated for meetings or presentations.
lebanese restaurant,A restaurant serving Lebanese cuisine.
used bookstore,A shop selling secondhand books.
thai restaurant,A restaurant serving Thai cuisine.
race track,A track for racing vehicles or animals.
photography service,A business providing professional photography.
website designer,A professional or service that creates and maintains websites.
rugby pitch,A field designated for playing rugby.
real estate appraiser,A professional assessing property values.
food and beverage service,"Businesses providing meals, snacks, or drinks."
boarding house,A residential building offering rooms and sometimes meals for rent.
breton restaurant,"A restaurant serving cuisine from Brittany, France."
ticket seller,A person or business selling tickets for events or transport.
jewish restaurant,A restaurant serving traditional Jewish cuisine.
agriturismo,"A farm offering accommodations and meals, often in Italy."
entertainment event,An organized event providing amusement or recreation.
sardinian restaurant,"A restaurant serving cuisine from Sardinia, Italy."
running club,An organization or group dedicated to running as a sport or hobby.
general college & university,A post-secondary educational institution providing a broad range of programs.
country dance club,A venue offering country-style dance and music.
event service,"A company providing planning, coordination, or support for events."
tour provider,A business organizing and offering guided tours.
takoyaki place,"A shop serving takoyaki, Japanese octopus balls."
road,A paved path for vehicles and pedestrians.
venezuelan restaurant,A restaurant serving Venezuelan cuisine.
print store,A shop providing printing services or products.
logging service,"A business involved in cutting, transporting, or processing timber."
kingdom hall,A building used for worship by Jehovah's Witnesses.
labour canteen,A cafeteria serving meals to workers.
erotic museum,A museum exhibiting artwork or artifacts related to human sexuality.
flea market,A market where secondhand goods are sold.
football field,A field used for playing football (soccer or American football depending on context).
teishoku restaurant,A restaurant serving Japanese set meals called teishoku.
scenic lookout,A designated area offering views of natural or urban landscapes.
dance store,"A shop selling dance apparel, shoes, and accessories."
market,A place where goods are bought and sold.
swimming pool supply store,A shop selling equipment and chemicals for swimming pools.
college administrative building,A building housing administrative offices on a college campus.
brasserie,A French-style restaurant serving hearty food and drinks.
parking,A designated area for leaving vehicles temporarily.
latin american restaurant,A restaurant serving cuisine from Latin America.
yunnan restaurant,A restaurant serving Yunnan cuisine from China.
brewery,A facility where beer is produced and sometimes sold.
psychologist,A professional providing mental health services and therapy.
medical lab,A laboratory conducting medical tests and analyses.
security and safety,Services or organizations providing protection and safety measures.
hill,"A naturally raised area of land, smaller than a mountain."
travel and transportation,Services and businesses related to moving people or goods.
pastelaria,"A shop specializing in pastries, often Portuguese-style."
vape store,A store selling electronic cigarettes and vaping products.
doors and windows contractor,A business installing or repairing doors and windows.
moroccan restaurant,A restaurant serving Moroccan cuisine.
sri lankan restaurant,A restaurant serving Sri Lankan cuisine.
samgyetang restaurant,A restaurant serving Korean ginseng chicken soup called samgyetang.
planetarium,A facility with a domed theater projecting images of stars and planets.
party center,A venue hosting parties and celebrations.
guizhou restaurant,"A restaurant serving cuisine from Guizhou, China."
home improvement service,A business providing renovation or repair services for homes.
oncologist,A doctor specializing in the treatment of cancer.
arepa restaurant,"A restaurant serving arepas, a type of cornmeal cake popular in Venezuela and Colombia."
moped dealership,A shop selling mopeds and small motorbikes.
attraction,"A place or event that draws visitors, such as a tourist site or amusement."
other nightlife,Entertainment venues or activities operating at night that don't fit typical categories.
jewelry store,"A shop selling jewelry such as rings, necklaces, and watches."
gym pool,A swimming pool located within a gym or fitness center.
picnic shelter,A covered outdoor structure providing shade and seating for picnics.
jegaraki,"A place serving Jegaraki, a regional or traditional dish (context-specific)."
garage door supplier,A business selling and installing garage doors.
taiwanese restaurant,A restaurant serving Taiwanese cuisine.
