OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['skydiving center', 'rafting outfitter', 'skydiving drop zone', 'climbing gym', 'flight school', 'hot air balloon tour agency', 'stable', 'rafting spot', 'field', 'circus school', 'rock climbing spot', 'dam', 'bridge', 'animal shelter', 'structure', 'cable car', 'platform', 'roof deck', 'framing store', 'gun range'];[0.3077312111854553, 0.30651217699050903, 0.28949275612831116, 0.27307915687561035, 0.2602868378162384, 0.2349238097667694, 0.223802387714386, 0.21964974701404572, 0.21727414429187775, 0.2163049876689911, 0.214498370885849, 0.21380262076854706, 0.21308842301368713, 0.21219530701637268, 0.2052057981491089, 0.20435327291488647, 0.20380252599716187, 0.2032678723335266, 0.19988247752189636, 0.19926214218139648];cable car;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'travel transportation', 'platform', 'shipping freight material transportation service', 'port', 'travel lounge', 'transportation service', 'toll booth', 'train', 'transport hub', 'tram station', 'taxi', 'cabin', 'taxi stand', 'public transportation', 'rest area', 'plane', 'lodging', 'travel agency', 'road'];[0.5650882720947266, 0.44158631563186646, 0.432603120803833, 0.4130544066429138, 0.40388989448547363, 0.3841063976287842, 0.3830180764198303, 0.38027727603912354, 0.37977439165115356, 0.3796425759792328, 0.3794041872024536, 0.37369459867477417, 0.3669232726097107, 0.35802119970321655, 0.3515484035015106, 0.3507327437400818, 0.3497810363769531, 0.3486989140510559, 0.34167373180389404, 0.33700066804885864];cable car;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'rugby pitch', 'rafting outfitter', 'fishing store', 'skydiving center', 'ballroom', 'canal', 'taxi stand', 'flight school', 'bridge', 'plane', 'rugby', 'hobby store', 'marine terminal', 'plastics supplier', 'structure', 'canal lock', 'hot air balloon tour agency', 'soccer store', 'airfield'];[0.2753535211086273, 0.2124462127685547, 0.19299960136413574, 0.19201180338859558, 0.19105568528175354, 0.17926180362701416, 0.17862895131111145, 0.17705287039279938, 0.17401547729969025, 0.16832807660102844, 0.1640056073665619, 0.163135826587677, 0.16037949919700623, 0.15803661942481995, 0.15779511630535126, 0.15655480325222015, 0.15647046267986298, 0.15594668686389923, 0.15417130291461945, 0.15394796431064606];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > pylon
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airfield', 'lodging', 'tram station', 'rail station', 'rest area', 'travel lounge', 'toll plaza', 'heliport', 'plane', 'airport tram station', 'travel transportation', 'metro station', 'transportation service', 'airport lounge', 'platform', 'marine terminal', 'port', 'inn', 'toll booth', 'vacation rental'];[0.43658024072647095, 0.4333359897136688, 0.4318355321884155, 0.42480385303497314, 0.4103025197982788, 0.4019103944301605, 0.4005088806152344, 0.3967127203941345, 0.39472997188568115, 0.3943827152252197, 0.39320898056030273, 0.39205825328826904, 0.3911644220352173, 0.3882617950439453, 0.38477379083633423, 0.38421985507011414, 0.38098108768463135, 0.3784591555595398, 0.3784138262271881, 0.37778952717781067];tram station;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;0;0;0;0;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airfield', 'airport lounge', 'international airport', 'plane', 'airport', 'airport service', 'airport gate', 'private airport', 'airport terminal', 'airport tram station', 'airport food court', 'airport ticket counter', 'travel lounge', 'taxi stand', 'baggage claim', 'heliport', 'palace', 'metro station', 'rail station', 'hockey stadium'];[0.7093546390533447, 0.592889666557312, 0.5901039838790894, 0.5740894675254822, 0.5612133741378784, 0.5533801317214966, 0.5503709316253662, 0.5239334106445312, 0.5056760311126709, 0.42988553643226624, 0.42705559730529785, 0.3710774779319763, 0.3659193515777588, 0.36281198263168335, 0.354580819606781, 0.3421601355075836, 0.34133192896842957, 0.33847129344940186, 0.33551543951034546, 0.3274786174297333];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'plane', 'toll plaza', 'airfield', 'airport', 'airport gate', 'international airport', 'toll booth', 'heliport', 'airport lounge', 'bus line', 'airport service', 'airport terminal', 'transport hub', 'road', 'moving target', 'public transportation', 'hot air balloon tour agency', 'private airport'];[0.45909383893013, 0.3668149709701538, 0.33773526549339294, 0.3288922905921936, 0.32076865434646606, 0.2923026978969574, 0.2902137041091919, 0.282260000705719, 0.2822420299053192, 0.2795516848564148, 0.2769742012023926, 0.27642032504081726, 0.2692188322544098, 0.26507243514060974, 0.26229625940322876, 0.2607930302619934, 0.256822407245636, 0.25385650992393494, 0.2525806128978729, 0.25166285037994385];airport;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;0;1;0;1;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'plane', 'airport lounge', 'airport gate', 'international airport', 'baggage claim', 'airport terminal', 'airport', 'baggage locker', 'airport service', 'private airport', 'airport food court', 'luggage store', 'airport tram station', 'parking', 'travel lounge', 'taxi stand', 'fuel station', 'hot air balloon tour agency', 'taxi'];[0.4976039528846741, 0.452426016330719, 0.4398452937602997, 0.4347086548805237, 0.42164933681488037, 0.4065204858779907, 0.40404176712036133, 0.3979135751724243, 0.3926432430744171, 0.38912254571914673, 0.37265461683273315, 0.3598099946975708, 0.32779011130332947, 0.3164152503013611, 0.29579827189445496, 0.2955235242843628, 0.29540807008743286, 0.29289376735687256, 0.2767811119556427, 0.2715798616409302];airport;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'plane', 'airfield', 'airport lounge', 'international airport', 'airport', 'airport service', 'cabin', 'boarding house', 'airport tram station', 'private airport', 'airport food court', 'travel lounge', 'baggage locker', 'taxi stand', 'marine terminal', 'charter bus', 'baggage claim', 'flight school'];[0.5861457586288452, 0.4362080693244934, 0.41259777545928955, 0.4034934639930725, 0.4023926258087158, 0.3461567461490631, 0.3423639237880707, 0.33681774139404297, 0.3310443162918091, 0.3275950849056244, 0.3235774040222168, 0.322770357131958, 0.31810981035232544, 0.31147870421409607, 0.2930961847305298, 0.28594160079956055, 0.2657078504562378, 0.2568044662475586, 0.2545711398124695, 0.24303853511810303];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport lounge', 'plane', 'cabin', 'boarding house', 'travel lounge', 'airport gate', 'international airport', 'airport terminal', 'airport', 'airport tram station', 'lodging', 'airport service', 'hot air balloon tour agency', 'lodge', 'private airport', 'inn', 'hotel', 'hostel', 'rest area'];[0.5107539296150208, 0.5060945749282837, 0.4750087857246399, 0.46829089522361755, 0.44905513525009155, 0.41717588901519775, 0.41106659173965454, 0.4096400737762451, 0.4007142186164856, 0.39710667729377747, 0.3825969099998474, 0.38184574246406555, 0.36444661021232605, 0.3618863821029663, 0.35649287700653076, 0.35570284724235535, 0.3415188789367676, 0.3384241461753845, 0.33118996024131775, 0.32690107822418213];airport;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'airfield', 'skydiving drop zone', 'skydiving center', 'plane', 'airport gate', 'platform', 'ski chairlift', 'airport lounge', 'surf spot', 'international airport', 'flight school', 'airport', 'private airport', 'hot air balloon tour agency', 'taxi stand', 'dive spot', 'stable', 'mountain hut', 'boat launch'];[0.4180431663990021, 0.38661834597587585, 0.3543461561203003, 0.34705400466918945, 0.328369677066803, 0.30476510524749756, 0.30207011103630066, 0.2711896002292633, 0.26686710119247437, 0.2586742043495178, 0.25102078914642334, 0.24381785094738007, 0.24191787838935852, 0.23976081609725952, 0.23738166689872742, 0.23654165863990784, 0.23197442293167114, 0.23028114438056946, 0.2252124845981598, 0.22369572520256042];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'airfield', 'plane', 'airport lounge', 'international airport', 'private airport', 'airport', 'airport gate', 'windmill', 'airport service', 'palace', 'skydiving center', 'hot air balloon tour agency', 'taxi stand', 'travel lounge', 'airport terminal', 'skydiving drop zone', 'airport tram station', 'baggage claim', 'flight school'];[0.5535774230957031, 0.5290158987045288, 0.4497584104537964, 0.41404855251312256, 0.39874428510665894, 0.3969586193561554, 0.3937687873840332, 0.3915024399757385, 0.35167646408081055, 0.3472030758857727, 0.3406754732131958, 0.33912956714630127, 0.32901906967163086, 0.3231501579284668, 0.31360065937042236, 0.3119288682937622, 0.29885995388031006, 0.2905680537223816, 0.2839301824569702, 0.27649998664855957];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['travel lounge', 'travel agency', 'plane', 'platform', 'skydiving center', 'flight school', 'heliport', 'airport lounge', 'hot air balloon tour agency', 'transport hub', 'eyecare store', 'cruise', 'tour provider', 'airfield', 'transportation service', 'scenic lookout', 'dive spot', 'smog check shop', 'surf spot', 'rest area'];[0.3362331688404083, 0.31411027908325195, 0.3136475682258606, 0.2944704294204712, 0.290426105260849, 0.28967398405075073, 0.28720590472221375, 0.28185057640075684, 0.2793238162994385, 0.27205023169517517, 0.27168190479278564, 0.2701911926269531, 0.2669607698917389, 0.26680678129196167, 0.262717604637146, 0.2594781517982483, 0.2567293047904968, 0.25650936365127563, 0.2542584240436554, 0.25237900018692017];airfield;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;0;0;0;aeroway;aeroway > navigationaid
runway;aeroway > runway;A strip of land on which aircraft can take off and land.;['airfield', 'plane', 'airport gate', 'skydiving drop zone', 'intersection', 'baggage claim', 'airport terminal', 'international airport', 'airport tram station', 'airport', 'truck stop', 'airport lounge', 'flight school', 'rugby pitch', 'airport service', 'skydiving center', 'moving target', 'private airport', 'building land surveyor', 'strip club'];[0.35916176438331604, 0.33975768089294434, 0.30227130651474, 0.27986806631088257, 0.2503330111503601, 0.2457195222377777, 0.2385474443435669, 0.23806674778461456, 0.2289302945137024, 0.22741591930389404, 0.22685670852661133, 0.22610050439834595, 0.22367632389068604, 0.22020640969276428, 0.22007016837596893, 0.21075135469436646, 0.2092188596725464, 0.20628583431243896, 0.20348384976387024, 0.19603148102760315];airfield;A strip of land on which aircraft can take off and land.;travel transportation > transport hub > airport;airport;0;1;0;1;aeroway;aeroway > runway
spaceport;aeroway > spaceport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;['airfield', 'airport lounge', 'airport terminal', 'airport', 'plane', 'international airport', 'marine terminal', 'airport service', 'airport gate', 'private airport', 'rail station', 'airport tram station', 'port', 'heliport', 'metro station', 'fuel station', 'light rail station', 'airport food court', 'bus station', 'travel lounge'];[0.5404232740402222, 0.49819111824035645, 0.4870679974555969, 0.4867970943450928, 0.47238588333129883, 0.4595457911491394, 0.4563857913017273, 0.44724041223526, 0.44267934560775757, 0.41465067863464355, 0.4108196198940277, 0.40994805097579956, 0.38383930921554565, 0.3825870752334595, 0.37664854526519775, 0.3724212348461151, 0.37195295095443726, 0.36993715167045593, 0.36935991048812866, 0.36211663484573364];airport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;travel transportation;travel transportation;0;0;0;0;aeroway;aeroway > spaceport
taxiway;aeroway > taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;['airfield', 'airport gate', 'airport lounge', 'plane', 'international airport', 'airport', 'taxi stand', 'parking', 'airport terminal', 'airport service', 'private airport', 'heliport', 'airport tram station', 'travel lounge', 'intersection', 'bus station', 'rest area', 'transport hub', 'taxi', 'airport food court'];[0.6383033990859985, 0.5340403914451599, 0.5297781229019165, 0.5252234935760498, 0.5038613080978394, 0.4940679669380188, 0.48202261328697205, 0.4797782599925995, 0.4745401442050934, 0.4635457694530487, 0.4511041045188904, 0.43486353754997253, 0.39635908603668213, 0.3886135220527649, 0.3871108889579773, 0.38300517201423645, 0.3823646306991577, 0.379489004611969, 0.3755204677581787, 0.3746066689491272];airfield;A route where airplanes manouevre between runways and parking areas within an aerodrome;travel transportation > transport hub > airport > airfield;airfield;1;1;1;1;aeroway;aeroway > taxiway
terminal;aeroway > terminal;An airport passenger building;['airport terminal', 'airport gate', 'airport lounge', 'airfield', 'plane', 'international airport', 'airport', 'private airport', 'airport service', 'travel lounge', 'airport tram station', 'marine terminal', 'cabin', 'pedestrian plaza', 'airport food court', 'pier', 'palace', 'lodge', 'taxi stand', 'inn'];[0.5855306386947632, 0.5456596612930298, 0.5450047850608826, 0.5353623628616333, 0.51945561170578, 0.4896235466003418, 0.4820345640182495, 0.45001083612442017, 0.44134044647216797, 0.43041837215423584, 0.42912349104881287, 0.40408962965011597, 0.39913302659988403, 0.3757925033569336, 0.372649610042572, 0.3710705637931824, 0.3604643940925598, 0.3525078296661377, 0.34824612736701965, 0.3460999131202698];airport terminal;An airport passenger building;travel transportation > transport hub > airport > airport terminal;airport terminal;1;1;1;1;aeroway;aeroway > terminal
windsock;aeroway > windsock;An object that shows wind direction and speed.;['windmill', 'plane', 'ear nose throat doctor', 'smog check shop', 'airport gate', 'heliport', 'surf spot', 'heating ventilating air conditioning contractor', 'airport ticket counter', 'transport hub', 'airport', 'hot air balloon tour agency', 'bus stop', 'moving target', 'canal lock', 'airport service', 'airfield', 'marine terminal', 'metro station', 'airport lounge'];[0.2703561782836914, 0.1975492537021637, 0.17170116305351257, 0.16815179586410522, 0.16753032803535461, 0.1593506634235382, 0.1514499932527542, 0.14884179830551147, 0.1427406370639801, 0.13823191821575165, 0.1343093067407608, 0.13315413892269135, 0.1289919912815094, 0.12742266058921814, 0.12199724465608597, 0.12158150970935822, 0.12014998495578766, 0.118277408182621, 0.11801032721996307, 0.11776770651340485];airport;An object that shows wind direction and speed.;landmarks outdoors;landmarks outdoors;0;0;0;0;aeroway;aeroway > windsock
bar;amenity > sustenance > bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";['rooftop bar', 'bar', 'hotel bar', 'lounge', 'pub', 'cocktail bar', 'beer bar', 'dive bar', 'beach bar', 'beer garden', 'wine bar', 'sports bar', 'apres ski bar', 'whisky bar', 'karaoke bar', 'gay bar', 'hookah bar', 'ice bar', 'champagne bar', 'speakeasy'];[0.5933511853218079, 0.5892630815505981, 0.579079806804657, 0.5742229223251343, 0.5739356279373169, 0.5542135238647461, 0.536676824092865, 0.534351110458374, 0.5312032103538513, 0.5227360725402832, 0.5209813117980957, 0.5175682902336121, 0.5154396295547485, 0.5145466923713684, 0.5098968744277954, 0.5086377263069153, 0.5083582401275635, 0.5035352110862732, 0.49719882011413574, 0.4968957304954529];bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";dining drinking > bar;bar;1;1;0;1;amenity;amenity > sustenance
biergarten;amenity > sustenance > biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";['beer garden', 'brewery', 'beer bar', 'bar', 'lounge', 'kebab restaurant', 'bistro', 'restaurant', 'restaurant', 'restaurant', 'restaurant', 'halal restaurant', 'friterie', 'pub', 'hotel bar', 'cafeteria', 'bagel shop', 'whisky bar', 'hookah bar', 'cocktail bar'];[0.5740641951560974, 0.5298882126808167, 0.501049280166626, 0.49100053310394287, 0.4893384277820587, 0.4793594777584076, 0.4792194962501526, 0.4785734713077545, 0.4785734713077545, 0.4760381579399109, 0.4760381579399109, 0.4732297360897064, 0.4731980264186859, 0.4724149703979492, 0.4717367887496948, 0.4685509204864502, 0.4620479643344879, 0.4575735926628113, 0.45681434869766235, 0.45623618364334106];beer garden;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";dining drinking > bar > beer garden;beer garden;1;1;1;1;amenity;amenity > sustenance
