OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
terminal;aeroway > terminal;An airport passenger building;['airport terminal', 'airport gate', 'airport lounge', 'airfield', 'plane', 'international airport', 'airport', 'private airport', 'airport service', 'travel lounge'];[0.5855306386947632, 0.5456596612930298, 0.5450047850608826, 0.5353623628616333, 0.51945561170578, 0.4896235466003418, 0.4820345640182495, 0.45001083612442017, 0.44134044647216797, 0.43041837215423584];airport terminal;An airport passenger building;travel transportation > transport hub > airport > airport terminal;airport terminal;1;1;1;1;aeroway;aeroway > terminal
windsock;aeroway > windsock;An object that shows wind direction and speed.;['windmill', 'plane', 'ear nose throat doctor', 'smog check shop', 'airport gate', 'heliport', 'surf spot', 'heating ventilating air conditioning contractor', 'airport ticket counter', 'transport hub'];[0.2703561782836914, 0.1975492537021637, 0.17170116305351257, 0.16815179586410522, 0.16753032803535461, 0.1593506634235382, 0.1514499932527542, 0.14884179830551147, 0.1427406370639801, 0.13823191821575165];airport gate;An object that shows wind direction and speed.;landmarks outdoors;landmarks outdoors;0;0;0;0;aeroway;aeroway > windsock
bar;amenity > sustenance > bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";['rooftop bar', 'bar', 'hotel bar', 'lounge', 'pub', 'cocktail bar', 'beer bar', 'dive bar', 'beach bar', 'beer garden'];[0.5933511853218079, 0.5892630815505981, 0.579079806804657, 0.5742229223251343, 0.5739356279373169, 0.5542135238647461, 0.536676824092865, 0.534351110458374, 0.5312032103538513, 0.5227360725402832];bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";dining drinking > bar;bar;1;1;0;1;amenity;amenity > sustenance
biergarten;amenity > sustenance > biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";['beer garden', 'brewery', 'beer bar', 'bar', 'lounge', 'kebab restaurant', 'bistro', 'restaurant', 'restaurant', 'restaurant'];[0.5740641951560974, 0.5298882126808167, 0.501049280166626, 0.49100053310394287, 0.4893384277820587, 0.4793594777584076, 0.4792194962501526, 0.4785734713077545, 0.4785734713077545, 0.4760381579399109];beer garden;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";dining drinking > bar > beer garden;beer garden;1;1;1;1;amenity;amenity > sustenance
cafe;amenity > sustenance > cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";['cafe', 'coffee shop', 'bistro', 'comfort food restaurant', 'pet cafe', 'cafe coffee tea house', 'fast food restaurant', 'restaurant', 'restaurant', 'diner'];[0.605239987373352, 0.6025865077972412, 0.5755956172943115, 0.5619620084762573, 0.5616840124130249, 0.5464365482330322, 0.5462747812271118, 0.5218541026115417, 0.5218541026115417, 0.5201702117919922];cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";dining drinking > cafe coffee tea house > cafe;cafe;1;1;1;1;amenity;amenity > sustenance
fast food;amenity > sustenance > fast food;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;['fast food restaurant', 'comfort food restaurant', 'salad restaurant', 'friterie', 'restaurant', 'restaurant', 'agriturismo', 'halal restaurant', 'southern food restaurant', 'restaurant'];[0.6731550693511963, 0.6120259165763855, 0.5715028047561646, 0.5591939091682434, 0.5559494495391846, 0.5559494495391846, 0.5455087423324585, 0.5428630113601685, 0.5413631200790405, 0.5411564111709595];fast food restaurant;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant > fast food restaurant;fast food restaurant;1;1;1;1;amenity;amenity > sustenance
food court;amenity > sustenance > food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;['food court', 'street food gathering', 'comfort food restaurant', 'salad restaurant', 'airport food court', 'fast food restaurant', 'snack place', 'dosa place', 'restaurant', 'restaurant'];[0.6150997877120972, 0.6136148571968079, 0.5620037913322449, 0.5596809387207031, 0.5559284090995789, 0.5444258451461792, 0.5356811285018921, 0.5300818681716919, 0.5237754583358765, 0.5237754583358765];food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;dining drinking > food court;food court;1;1;1;1;amenity;amenity > sustenance
ice cream;amenity > sustenance > ice cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;['frozen yogurt shop', 'ice cream parlor', 'smoothie shop', 'refrigeration ice supplier', 'dessert shop', 'dairy store', 'cupcake shop', 'donut shop', 'stationery store', 'street food gathering'];[0.6564380526542664, 0.6207826137542725, 0.4778250455856323, 0.4730561077594757, 0.43922698497772217, 0.428067684173584, 0.4274267256259918, 0.42576175928115845, 0.4251543879508972, 0.41957998275756836];ice cream parlor;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;dining drinking > dessert shop > ice cream parlor;ice cream parlor;1;1;0;1;amenity;amenity > sustenance
pub;amenity > sustenance > pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";['pub', 'irish pub', 'beer garden', 'lounge', 'bar', 'hotel bar', 'beer bar', 'whisky bar', 'rooftop bar', 'cocktail bar'];[0.7041034698486328, 0.6733901500701904, 0.6394772529602051, 0.6278668642044067, 0.6132268905639648, 0.612926185131073, 0.6050037145614624, 0.6018025875091553, 0.5834165811538696, 0.5761011838912964];pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";dining drinking > bar > pub;pub;1;1;1;1;amenity;amenity > sustenance
restaurant;amenity > sustenance > restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;['fast food restaurant', 'comfort food restaurant', 'salad restaurant', 'friterie', 'restaurant', 'restaurant', 'agriturismo', 'restaurant', 'restaurant', 'southern food restaurant'];[0.6212013959884644, 0.5411989092826843, 0.5162051320075989, 0.5119412541389465, 0.5074707269668579, 0.5074707269668579, 0.4938523769378662, 0.49290627241134644, 0.49290627241134644, 0.485950231552124];restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant;restaurant;1;1;0;1;amenity;amenity > sustenance
college;amenity > education > college;Campus or buildings of an institute of Further Education (aka continuing education);['college arts building', 'college engineering building', 'college academic building', 'college technology building', 'college administrative building', 'college communications building', 'student center', 'college science building', 'college math building', 'college university'];[0.6101624369621277, 0.6046397686004639, 0.5940037965774536, 0.5919573903083801, 0.5772994756698608, 0.5496317744255066, 0.5413542985916138, 0.541232705116272, 0.5386040210723877, 0.5368825197219849];college university;Campus or buildings of an institute of Further Education (aka continuing education);community government > education > college university > college academic building;college academic building;0;1;0;1;amenity;amenity > education
dancing school;amenity > education > dancing school;A dancing school or dance studio;['country dance club', 'dance studio', 'dance hall', 'samba school', 'dance store', 'salsa club', 'night club', 'party center', 'bowling alley', 'escape room'];[0.6341784000396729, 0.630730390548706, 0.60964435338974, 0.571423351764679, 0.5634227991104126, 0.5221037268638611, 0.5067826509475708, 0.48881539702415466, 0.4746619462966919, 0.4740658700466156];dance studio;A dancing school or dance studio;sports recreation > gym studio > dance studio;dance studio;1;1;0;1;amenity;amenity > education
driving school;amenity > education > driving school;Driving School which offers motor vehicle driving lessons;['driving school', 'flight school', 'music school', 'circus school', 'art school', 'adult education', 'religious school', 'middle school', 'culinary school', 'nursery school'];[0.6545243859291077, 0.4849410057067871, 0.4123508930206299, 0.39941921830177307, 0.3951863646507263, 0.3854939341545105, 0.38384130597114563, 0.381531298160553, 0.3794472813606262, 0.37901031970977783];driving school;Driving School which offers motor vehicle driving lessons;community government > education > driving school;driving school;1;1;1;1;amenity;amenity > education
first aid school;amenity > education > first aid school;A place where people can go for first aid courses.;['flight school', 'nursery school', 'medical school', 'driving school', 'art school', 'religious school', 'aids resource', 'adult education', 'middle school', 'student center'];[0.4691781997680664, 0.455400288105011, 0.4360846281051636, 0.42353349924087524, 0.41691094636917114, 0.4120127558708191, 0.4080624580383301, 0.40784353017807007, 0.4037233591079712, 0.3996216058731079];adult education;A place where people can go for first aid courses.;community government > education;education;0;0;0;0;amenity;amenity > education
kindergarten;amenity > education > kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;['nursery school', 'preschool', 'middle school', 'elementary school', 'circus school', 'primary secondary school', 'high school', 'flight school', 'samba school', 'swim school'];[0.5388129949569702, 0.4927266240119934, 0.4447464942932129, 0.44096487760543823, 0.4379287660121918, 0.420864462852478, 0.410589337348938, 0.394686222076416, 0.3540653586387634, 0.35397598147392273];nursery school;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;community government > education > nursery school;nursery school;1;1;1;1;amenity;amenity > education
language school;amenity > education > language school;Language School: an educational institution where one studies a foreign language.;['language school', 'religious school', 'flight school', 'samba school', 'circus school', 'middle school', 'cultural center', 'nursery school', 'adult education', 'art school'];[0.5562564730644226, 0.42781734466552734, 0.41723793745040894, 0.3852772116661072, 0.37951740622520447, 0.37419113516807556, 0.3658708930015564, 0.36581504344940186, 0.36090266704559326, 0.35920703411102295];language school;Language School: an educational institution where one studies a foreign language.;community government > education > language school;language school;1;1;1;1;amenity;amenity > education
library;amenity > education > library;A public library (municipal, university, …) to borrow books from.;['library', 'college library', 'college bookstore', 'nursery school', 'flight school', 'college university', 'college rec center', 'college auditorium', 'student center', 'college arts building'];[0.5750629901885986, 0.5674235820770264, 0.5438940525054932, 0.46529415249824524, 0.44676673412323, 0.43480950593948364, 0.43028974533081055, 0.4258485436439514, 0.424256294965744, 0.4225451946258545];library;A public library (municipal, university, �?�) to borrow books from.;community government > library;library;1;1;1;1;amenity;amenity > education
surf school;amenity > education > surf school;A surf school is an establishment that teaches surfing.;['swim school', 'surfing', 'surf store', 'flight school', 'swimming club', 'surf spot', 'sailing club', 'circus school', 'samba school', 'driving school'];[0.5117045640945435, 0.49682220816612244, 0.45690733194351196, 0.45292598009109497, 0.3981580138206482, 0.3929717540740967, 0.3840089738368988, 0.3833039402961731, 0.3665316104888916, 0.3648824393749237];swim school;A surf school is an establishment that teaches surfing.;sports recreation > water sports > surfing;surfing;0;1;0;1;amenity;amenity > education
toy library;amenity > education > toy library;A place to borrow games and toys, or play with them on site.;['toy store', 'arcade', 'mini golf course', 'video games store', 'disc golf course', 'amusement park', 'hobby store', 'bingo center', 'attraction', 'gaming cafe'];[0.5661794543266296, 0.4432065188884735, 0.43523380160331726, 0.4214930236339569, 0.4130975902080536, 0.4062572121620178, 0.3948194980621338, 0.3917604684829712, 0.38111817836761475, 0.37930694222450256];toy store;A place to borrow games and toys, or play with them on site.;retail > toy store;toy store;1;1;1;1;amenity;amenity > education
research institute;amenity > education > research institute;An establishment endowed for doing research.;['college arts building', 'college science building', 'college engineering building', 'samba school', 'corporate amenity', 'flight school', 'college academic building', 'college communications building', 'college technology building', 'college auditorium'];[0.4316120147705078, 0.40623709559440613, 0.4059808850288391, 0.4055602550506592, 0.4030299186706543, 0.3998979330062866, 0.3992096781730652, 0.3936881124973297, 0.3894430994987488, 0.3876259922981262];college academic building;An establishment endowed for doing research.;business professional services > research laboratory;research laboratory;0;0;0;0;amenity;amenity > education
training;amenity > education > training;Public place where you can get training.;['flight school', 'circus school', 'nursery school', 'adult education', 'religious school', 'driving school', 'culinary school', 'art school', 'education', 'private school'];[0.46059244871139526, 0.45675328373908997, 0.4517931640148163, 0.4466041326522827, 0.4396360516548157, 0.4371885657310486, 0.4342400133609772, 0.4320642650127411, 0.4276455044746399, 0.4229120910167694];adult education;Public place where you can get training.;community government > education;education;0;1;0;1;amenity;amenity > education
music school;amenity > education > music school;A music school, an educational institution specialized in the study, training, and research of music.;['music school', 'samba school', 'music venue', 'rock club', 'music festival', 'performing arts venue', 'jazz blues venue', 'music store', 'arts entertainment', 'night club'];[0.7107725143432617, 0.5266324281692505, 0.498151957988739, 0.4943176507949829, 0.42934417724609375, 0.4246770739555359, 0.4232417941093445, 0.422873318195343, 0.4059654474258423, 0.40428659319877625];music school;A music school, an educational institution specialized in the study, training, and research of music.;community government > education > music school;music school;1;1;1;1;amenity;amenity > education
