OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;correct_in_k;correct_embedding;correct_in_k_or_main;OSM_main;OSM_main_sub
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['skydiving center', 'rafting outfitter', 'skydiving drop zone', 'climbing gym', 'flight school'];[0.3077312111854553, 0.30651217699050903, 0.28949275612831116, 0.27307915687561035, 0.2602868378162384];skydiving center;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'travel transportation', 'platform', 'shipping freight material transportation service', 'port'];[0.5650882720947266, 0.44158631563186646, 0.432603120803833, 0.4130544066429138, 0.40388989448547363];cable car;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'rugby pitch', 'rafting outfitter', 'fishing store', 'skydiving center'];[0.2753535211086273, 0.2124462127685547, 0.19299960136413574, 0.19201180338859558, 0.19105568528175354];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;1;1;aerialway;aerialway > pylon
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airfield', 'lodging', 'tram station', 'rail station', 'rest area'];[0.43658024072647095, 0.4333359897136688, 0.4318355321884155, 0.42480385303497314, 0.4103025197982788];tram station;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;0;0;0;0;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airfield', 'airport lounge', 'international airport', 'plane', 'airport'];[0.7093546390533447, 0.592889666557312, 0.5901039838790894, 0.5740894675254822, 0.5612133741378784];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;0;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'plane', 'toll plaza', 'airfield'];[0.45909383893013, 0.3668149709701538, 0.33773526549339294, 0.3288922905921936, 0.32076865434646606];airfield;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;0;1;0;1;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'plane', 'airport lounge', 'airport gate', 'international airport'];[0.4976039528846741, 0.452426016330719, 0.4398452937602997, 0.4347086548805237, 0.42164933681488037];airfield;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;0;0;0;0;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'plane', 'airfield', 'airport lounge'];[0.5861457586288452, 0.4362080693244934, 0.41259777545928955, 0.4034934639930725, 0.4023926258087158];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport lounge', 'plane', 'cabin', 'boarding house'];[0.5107539296150208, 0.5060945749282837, 0.4750087857246399, 0.46829089522361755, 0.44905513525009155];airfield;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;0;0;0;0;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'airfield', 'skydiving drop zone', 'skydiving center', 'plane'];[0.4180431663990021, 0.38661834597587585, 0.3543461561203003, 0.34705400466918945, 0.328369677066803];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'airfield', 'plane', 'airport lounge', 'international airport'];[0.5535774230957031, 0.5290158987045288, 0.4497584104537964, 0.41404855251312256, 0.39874428510665894];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['travel lounge', 'travel agency', 'plane', 'platform', 'skydiving center'];[0.3362331688404083, 0.31411027908325195, 0.3136475682258606, 0.2944704294204712, 0.290426105260849];plane;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;0;0;0;aeroway;aeroway > navigationaid
runway;aeroway > runway;A strip of land on which aircraft can take off and land.;['airfield', 'plane', 'airport gate', 'skydiving drop zone', 'intersection'];[0.35916176438331604, 0.33975768089294434, 0.30227130651474, 0.27986806631088257, 0.2503330111503601];airfield;A strip of land on which aircraft can take off and land.;travel transportation > transport hub > airport;airport;0;0;0;0;aeroway;aeroway > runway
spaceport;aeroway > spaceport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;['airfield', 'airport lounge', 'airport terminal', 'airport', 'plane'];[0.5404232740402222, 0.49819111824035645, 0.4870679974555969, 0.4867970943450928, 0.47238588333129883];airfield;A spaceport or cosmodrome: a site for launching or receiving spacecraft;travel transportation;travel transportation;0;0;0;0;aeroway;aeroway > spaceport
taxiway;aeroway > taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;['airfield', 'airport gate', 'airport lounge', 'plane', 'international airport'];[0.6383033990859985, 0.5340403914451599, 0.5297781229019165, 0.5252234935760498, 0.5038613080978394];airfield;A route where airplanes manouevre between runways and parking areas within an aerodrome;travel transportation > transport hub > airport > airfield;airfield;1;1;1;1;aeroway;aeroway > taxiway
terminal;aeroway > terminal;An airport passenger building;['airport terminal', 'airport gate', 'airport lounge', 'airfield', 'plane'];[0.5855306386947632, 0.5456596612930298, 0.5450047850608826, 0.5353623628616333, 0.51945561170578];airport terminal;An airport passenger building;travel transportation > transport hub > airport > airport terminal;airport terminal;1;1;1;1;aeroway;aeroway > terminal
windsock;aeroway > windsock;An object that shows wind direction and speed.;['windmill', 'plane', 'ear nose throat doctor', 'smog check shop', 'airport gate'];[0.2703561782836914, 0.1975492537021637, 0.17170116305351257, 0.16815179586410522, 0.16753032803535461];airport gate;An object that shows wind direction and speed.;landmarks outdoors;landmarks outdoors;0;0;0;0;aeroway;aeroway > windsock
bar;amenity > sustenance > bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";['rooftop bar', 'bar', 'hotel bar', 'lounge', 'pub'];[0.5933511853218079, 0.5892630815505981, 0.579079806804657, 0.5742229223251343, 0.5739356279373169];bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";dining drinking > bar;bar;1;1;0;1;amenity;amenity > sustenance
biergarten;amenity > sustenance > biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";['beer garden', 'brewery', 'beer bar', 'bar', 'lounge'];[0.5740641951560974, 0.5298882126808167, 0.501049280166626, 0.49100053310394287, 0.4893384277820587];beer garden;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";dining drinking > bar > beer garden;beer garden;1;1;1;1;amenity;amenity > sustenance
cafe;amenity > sustenance > cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";['cafe', 'coffee shop', 'bistro', 'comfort food restaurant', 'pet cafe'];[0.605239987373352, 0.6025865077972412, 0.5755956172943115, 0.5619620084762573, 0.5616840124130249];cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";dining drinking > cafe coffee tea house > cafe;cafe;1;1;1;1;amenity;amenity > sustenance
fast food;amenity > sustenance > fast food;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;['fast food restaurant', 'comfort food restaurant', 'salad restaurant', 'friterie', 'restaurant'];[0.6731550693511963, 0.6120259165763855, 0.5715028047561646, 0.5591939091682434, 0.5559494495391846];fast food restaurant;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant > fast food restaurant;fast food restaurant;1;1;1;1;amenity;amenity > sustenance
food court;amenity > sustenance > food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;['food court', 'street food gathering', 'comfort food restaurant', 'salad restaurant', 'airport food court'];[0.6150997877120972, 0.6136148571968079, 0.5620037913322449, 0.5596809387207031, 0.5559284090995789];food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;dining drinking > food court;food court;1;1;1;1;amenity;amenity > sustenance
ice cream;amenity > sustenance > ice cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;['frozen yogurt shop', 'ice cream parlor', 'smoothie shop', 'refrigeration ice supplier', 'dessert shop'];[0.6564380526542664, 0.6207826137542725, 0.4778250455856323, 0.4730561077594757, 0.43922698497772217];ice cream parlor;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;dining drinking > dessert shop > ice cream parlor;ice cream parlor;1;1;0;1;amenity;amenity > sustenance
pub;amenity > sustenance > pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";['pub', 'irish pub', 'beer garden', 'lounge', 'bar'];[0.7041034698486328, 0.6733901500701904, 0.6394772529602051, 0.6278668642044067, 0.6132268905639648];pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";dining drinking > bar > pub;pub;1;1;1;1;amenity;amenity > sustenance
restaurant;amenity > sustenance > restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;['fast food restaurant', 'comfort food restaurant', 'salad restaurant', 'friterie', 'restaurant'];[0.6212013959884644, 0.5411989092826843, 0.5162051320075989, 0.5119412541389465, 0.5074707269668579];restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant;restaurant;1;1;0;1;amenity;amenity > sustenance
college;amenity > education > college;Campus or buildings of an institute of Further Education (aka continuing education);['college arts building', 'college engineering building', 'college academic building', 'college technology building', 'college administrative building'];[0.6101624369621277, 0.6046397686004639, 0.5940037965774536, 0.5919573903083801, 0.5772994756698608];college academic building;Campus or buildings of an institute of Further Education (aka continuing education);community government > education > college university > college academic building;college academic building;1;1;0;1;amenity;amenity > education
dancing school;amenity > education > dancing school;A dancing school or dance studio;['country dance club', 'dance studio', 'dance hall', 'samba school', 'dance store'];[0.6341784000396729, 0.630730390548706, 0.60964435338974, 0.571423351764679, 0.5634227991104126];dance studio;A dancing school or dance studio;sports recreation > gym studio > dance studio;dance studio;1;1;0;1;amenity;amenity > education
driving school;amenity > education > driving school;Driving School which offers motor vehicle driving lessons;['driving school', 'flight school', 'music school', 'circus school', 'art school'];[0.6545243859291077, 0.4849410057067871, 0.4123508930206299, 0.39941921830177307, 0.3951863646507263];driving school;Driving School which offers motor vehicle driving lessons;community government > education > driving school;driving school;1;1;1;1;amenity;amenity > education
first aid school;amenity > education > first aid school;A place where people can go for first aid courses.;['flight school', 'nursery school', 'medical school', 'driving school', 'art school'];[0.4691781997680664, 0.455400288105011, 0.4360846281051636, 0.42353349924087524, 0.41691094636917114];medical school;A place where people can go for first aid courses.;community government > education;education;0;0;0;0;amenity;amenity > education
kindergarten;amenity > education > kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;['nursery school', 'preschool', 'middle school', 'elementary school', 'circus school'];[0.5388129949569702, 0.4927266240119934, 0.4447464942932129, 0.44096487760543823, 0.4379287660121918];nursery school;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;community government > education > nursery school;nursery school;1;1;1;1;amenity;amenity > education
language school;amenity > education > language school;Language School: an educational institution where one studies a foreign language.;['language school', 'religious school', 'flight school', 'samba school', 'circus school'];[0.5562564730644226, 0.42781734466552734, 0.41723793745040894, 0.3852772116661072, 0.37951740622520447];language school;Language School: an educational institution where one studies a foreign language.;community government > education > language school;language school;1;1;1;1;amenity;amenity > education
library;amenity > education > library;A public library (municipal, university, …) to borrow books from.;['library', 'college library', 'college bookstore', 'nursery school', 'flight school'];[0.5750629901885986, 0.5674235820770264, 0.5438940525054932, 0.46529415249824524, 0.44676673412323];library;A public library (municipal, university, �?�) to borrow books from.;community government > library;library;1;1;1;1;amenity;amenity > education
surf school;amenity > education > surf school;A surf school is an establishment that teaches surfing.;['swim school', 'surfing', 'surf store', 'flight school', 'swimming club'];[0.5117045640945435, 0.49682220816612244, 0.45690733194351196, 0.45292598009109497, 0.3981580138206482];surfing;A surf school is an establishment that teaches surfing.;sports recreation > water sports > surfing;surfing;1;1;0;1;amenity;amenity > education
toy library;amenity > education > toy library;A place to borrow games and toys, or play with them on site.;['toy store', 'arcade', 'mini golf course', 'video games store', 'disc golf course'];[0.5661794543266296, 0.4432065188884735, 0.43523380160331726, 0.4214930236339569, 0.4130975902080536];toy store;A place to borrow games and toys, or play with them on site.;retail > toy store;toy store;1;1;1;1;amenity;amenity > education
research institute;amenity > education > research institute;An establishment endowed for doing research.;['college arts building', 'college science building', 'college engineering building', 'samba school', 'corporate amenity'];[0.4316120147705078, 0.40623709559440613, 0.4059808850288391, 0.4055602550506592, 0.4030299186706543];college science building;An establishment endowed for doing research.;business professional services > research laboratory;research laboratory;0;0;0;0;amenity;amenity > education
training;amenity > education > training;Public place where you can get training.;['flight school', 'circus school', 'nursery school', 'adult education', 'religious school'];[0.46059244871139526, 0.45675328373908997, 0.4517931640148163, 0.4466041326522827, 0.4396360516548157];adult education;Public place where you can get training.;community government > education;education;0;0;0;0;amenity;amenity > education
music school;amenity > education > music school;A music school, an educational institution specialized in the study, training, and research of music.;['music school', 'samba school', 'music venue', 'rock club', 'music festival'];[0.7107725143432617, 0.5266324281692505, 0.498151957988739, 0.4943176507949829, 0.42934417724609375];music school;A music school, an educational institution specialized in the study, training, and research of music.;community government > education > music school;music school;1;1;1;1;amenity;amenity > education
school;amenity > education > school;School and grounds - primary, middle and secondary schools;['middle school', 'primary secondary school', 'high school', 'elementary school', 'flight school'];[0.6172566413879395, 0.5497725009918213, 0.5416648387908936, 0.537541389465332, 0.5318683385848999];primary secondary school;School and grounds - primary, middle and secondary schools;community government > education > primary secondary school;primary secondary school;1;1;0;1;amenity;amenity > education
traffic park;amenity > education > traffic park;Juvenile traffic schools;['driving school', 'circus school', 'flight school', 'nursery school', 'art school'];[0.5754865407943726, 0.5295858383178711, 0.5183386206626892, 0.4574238657951355, 0.4544794261455536];driving school;Juvenile traffic schools;community government > education > driving school;driving school;1;1;1;1;amenity;amenity > education
university;amenity > education > university;A university campus: an institute of higher education;['university', 'college academic building', 'college engineering building', 'college technology building', 'college university'];[0.5559735298156738, 0.5437817573547363, 0.5393287539482117, 0.5365501642227173, 0.5283039212226868];university;A university campus: an institute of higher education;community government > education > college university > university;university;1;1;1;1;amenity;amenity > education
bicycle parking;amenity > transportation > bicycle parking;Parking for bicycles;['parking', 'bike rental', 'rv park', 'bicycle store', 'urban park'];[0.6909188032150269, 0.548369824886322, 0.5241419672966003, 0.44767487049102783, 0.4196050763130188];parking;Parking for bicycles;travel transportation > parking;parking;1;1;1;1;amenity;amenity > transportation
bicycle repair station;amenity > transportation > bicycle repair station;"General tools for self-service bicycle repairs, usually on the roadside; no service";['motorcycle repair shop', 'tire repair shop', 'automotive repair shop', 'repair service', 'vehicle inspection station'];[0.6143262386322021, 0.5802896022796631, 0.5636153221130371, 0.5437343120574951, 0.5360581874847412];repair service;"General tools for self-service bicycle repairs, usually on the roadside; no service";business professional services;business professional services;0;0;0;0;amenity;amenity > transportation
bicycle rental;amenity > transportation > bicycle rental;Rent a bicycle;['bike rental', 'vacation rental', 'rv park', 'boat rental', 'hotel'];[0.7718932628631592, 0.5904499888420105, 0.5357723236083984, 0.5300829410552979, 0.5098620653152466];bike rental;Rent a bicycle;travel transportation > bike rental;bike rental;1;1;1;1;amenity;amenity > transportation
bicycle wash;amenity > transportation > bicycle wash;Clean a bicycle;['car wash detail', 'laundry service', 'laundromat', 'dry cleaner', 'bike rental'];[0.5467778444290161, 0.4417371451854706, 0.4096331000328064, 0.3964666724205017, 0.39273375272750854];car wash;Clean a bicycle;business professional services;business professional services;0;0;0;0;amenity;amenity > transportation
boat rental;amenity > transportation > boat rental;Rent a Boat;['boat rental', 'boat ferry', 'canoe kayak rental', 'vacation rental', 'bike rental'];[0.8198779821395874, 0.6191948652267456, 0.5716978311538696, 0.5582030415534973, 0.5350374579429626];boat rental;Rent a Boat;travel transportation > boat rental;boat rental;1;1;1;1;amenity;amenity > transportation
boat sharing;amenity > transportation > boat sharing;Share a Boat;['boat rental', 'boat ferry', 'sailing club', 'cruise', 'canoe kayak rental'];[0.6648304462432861, 0.5681002140045166, 0.46016010642051697, 0.4518214166164398, 0.435491681098938];boat rental;Share a Boat;travel transportation;travel transportation;0;0;0;0;amenity;amenity > transportation
bus station;amenity > transportation > bus station;May also be tagged as public_transport=station.;['public transportation', 'bus line', 'charter bus', 'bus station', 'transportation service'];[0.585155725479126, 0.560964822769165, 0.543936014175415, 0.5296304821968079, 0.5142456889152527];bus station;May also be tagged as public_transport=station.;travel transportation > transport hub > bus station;bus station;1;1;0;1;amenity;amenity > transportation
car rental;amenity > transportation > car rental;Rent a car;['bike rental', 'vacation rental', 'boat rental', 'rental car location', 'hotel'];[0.6212754845619202, 0.5947566032409668, 0.5509600043296814, 0.5121779441833496, 0.5060714483261108];rental car location;Rent a car;travel transportation > transport hub > rental car location;rental car location;1;1;0;1;amenity;amenity > transportation
car sharing;amenity > transportation > car sharing;Share a car;['bike rental', 'rental car location', 'travel transportation', 'vacation rental', 'transport hub'];[0.4384392201900482, 0.4241477847099304, 0.42390066385269165, 0.41873541474342346, 0.41686785221099854];rental car location;Share a car;travel transportation;travel transportation;0;1;0;1;amenity;amenity > transportation
car wash;amenity > transportation > car wash;Wash a car;['car wash detail', 'laundromat', 'laundry service', 'classic antique car dealership', 'dry cleaner'];[0.6972308158874512, 0.4248712658882141, 0.42319682240486145, 0.338453084230423, 0.3264986276626587];car wash;Wash a car;business professional services > automotive service > car wash detail;car wash detail;0;1;1;1;amenity;amenity > transportation
compressed air;amenity > transportation > compressed air;A device to inflate tires/tyres (e.g. motorcar, bicycle);['hot air balloon tour agency', 'bike rental', 'baggage locker', 'motor scooter dealership', 'travel lounge'];[0.3599116802215576, 0.3277106285095215, 0.3106275796890259, 0.30286988615989685, 0.2906990647315979];bike rental;A device to inflate tires/tyres (e.g. motorcar, bicycle);business professional services > automotive service > tire repair shop;tire repair shop;0;0;0;0;amenity;amenity > transportation
vehicle inspection;amenity > transportation > vehicle inspection;Government vehicle inspection;['vehicle inspection station', 'home inspection', 'car wash detail', 'public transportation', 'smog check shop'];[0.6254178881645203, 0.4956919252872467, 0.3919025659561157, 0.39045438170433044, 0.38261494040489197];vehicle inspection station;Government vehicle inspection;business professional services > automotive service > vehicle inspection station;vehicle inspection station;1;1;1;1;amenity;amenity > transportation
charging station;amenity > transportation > charging station;Charging facility for electric vehicles;['electric vehicle charging station', 'rv park', 'fuel station', 'transportation service', 'vacation rental'];[0.8095223307609558, 0.4622722864151001, 0.4502480924129486, 0.42787444591522217, 0.41600528359413147];electric vehicle charging station;Charging facility for electric vehicles;travel transportation > electric vehicle charging station;electric vehicle charging station;1;1;1;1;amenity;amenity > transportation
driver training;amenity > transportation > driver training;A place for driving training on a closed course;['driving school', 'truck stop', 'public transportation', 'transportation service', 'road'];[0.5460729598999023, 0.4562353491783142, 0.4547383189201355, 0.45254266262054443, 0.42979174852371216];driving school;A place for driving training on a closed course;sports recreation > race track > racecourse;racecourse;0;0;0;0;amenity;amenity > transportation
ferry terminal;amenity > transportation > ferry terminal;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.;['boat ferry', 'port', 'boat rental', 'pier', 'marine terminal'];[0.6117329597473145, 0.4645730257034302, 0.46004655957221985, 0.4559019207954407, 0.4466904401779175];boat ferry;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.;travel transportation > pier;pier;0;1;0;1;amenity;amenity > transportation
fuel;amenity > transportation > fuel;"Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway=service.";['fuel station', 'transportation service', 'rail station', 'public transportation', 'limo service'];[0.6962317824363708, 0.47980523109436035, 0.4478951096534729, 0.443506121635437, 0.4165309965610504];fuel station;"Petrol station; gas station; marine fuel; �?� Streets to petrol stations are often tagged highway=service.";travel transportation > fuel station;fuel station;1;1;1;1;amenity;amenity > transportation
grit bin;amenity > transportation > grit bin;A container that holds grit or a mixture of salt and grit.;['baggage locker', 'packaging supply store', 'shipping freight material transportation service', 'salvage yard', 'recycling facility'];[0.2843674123287201, 0.2840498089790344, 0.2724655270576477, 0.2632646858692169, 0.24018433690071106];baggage locker;A container that holds grit or a mixture of salt and grit.;travel transportation > road;road;0;0;0;0;amenity;amenity > transportation
motorcycle parking;amenity > transportation > motorcycle parking;Parking for motorcycles;['parking', 'bike rental', 'rv park', 'motorcycle dealership', 'motorcycle repair shop'];[0.633510947227478, 0.5135194063186646, 0.5086532831192017, 0.45946061611175537, 0.4186902344226837];parking;Parking for motorcycles;travel transportation > parking;parking;1;1;1;1;amenity;amenity > transportation
parking;amenity > transportation > parking;Parking area for vehicles. Streets on car parking are often tagged highway=service and service=parking_aisle.;['parking', 'rv park', 'charter bus', 'limo service', 'transportation service'];[0.5965644121170044, 0.4556562900543213, 0.45081019401550293, 0.4257276654243469, 0.4095391035079956];parking;Parking area for vehicles. Streets on car parking are often tagged highway=service and service=parking_aisle.;travel transportation > parking;parking;1;1;1;1;amenity;amenity > transportation
