OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['plane', 'cable car', 'rafting outfitter', 'skydiving drop zone', 'heliport', 'climbing gym', 'bridge', 'ski chairlift', 'skydiving center', 'rugby'];[0.32425612211227417, 0.31289219856262207, 0.3096282482147217, 0.2993294894695282, 0.2870229482650757, 0.2816281318664551, 0.2803175449371338, 0.2795412838459015, 0.27875345945358276, 0.2530936598777771];cable car;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'transportation service', 'shipping freight material transportation service', 'boat ferry', 'train', 'travel transportation', 'platform', 'ski chairlift', 'airport service', 'plane'];[0.6240173578262329, 0.43951791524887085, 0.4317208528518677, 0.4295669496059418, 0.42736533284187317, 0.41583794355392456, 0.4144097566604614, 0.4098135828971863, 0.39858439564704895, 0.3953843414783478];cable car;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'plane', 'heliport', 'rafting outfitter', 'bridge', 'rugby', 'fishing store', 'structure', 'canal lock', 'rugby pitch'];[0.3085573613643646, 0.27157461643218994, 0.23117204010486603, 0.22250597178936005, 0.2112932950258255, 0.21053972840309143, 0.19317156076431274, 0.18783073127269745, 0.1839844286441803, 0.18387864530086517];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > pylon
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airport', 'airfield', 'airport gate', 'airport service', 'international airport', 'heliport', 'transport hub', 'light rail station', 'rest area', 'airport terminal'];[0.48235368728637695, 0.4410526752471924, 0.43365347385406494, 0.42326584458351135, 0.4131056070327759, 0.3976118564605713, 0.3867949843406677, 0.3735184073448181, 0.37271904945373535, 0.37211963534355164];transport hub;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;0;0;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airport service', 'international airport', 'airport lounge', 'airport gate', 'airport', 'private airport', 'airfield', 'airport tram station', 'heliport', 'airport terminal'];[0.5416620969772339, 0.5062369108200073, 0.5052295923233032, 0.4991898238658905, 0.4721830487251282, 0.4674937129020691, 0.45723292231559753, 0.4334266781806946, 0.3879891335964203, 0.38736310601234436];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'airport service', 'toll booth', 'international airport', 'plane', 'toll plaza', 'airport gate', 'airport', 'cable car'];[0.4377050995826721, 0.3762986958026886, 0.34124499559402466, 0.32462364435195923, 0.3203291594982147, 0.31660306453704834, 0.30856433510780334, 0.30677342414855957, 0.3006317913532257, 0.28663328289985657];airport;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;0;0;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'airport gate', 'airport', 'baggage claim', 'international airport', 'airport service', 'airport terminal', 'port', 'plane', 'private airport'];[0.5414177775382996, 0.501230001449585, 0.4951251149177551, 0.4727441072463989, 0.45649129152297974, 0.4367150068283081, 0.4175414443016052, 0.41589391231536865, 0.4023754298686981, 0.383652925491333];airport;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'platform', 'international airport', 'airfield', 'travel lounge', 'airport', 'airport service', 'taxi stand', 'airport lounge'];[0.5555360317230225, 0.4894241392612457, 0.47475457191467285, 0.43590572476387024, 0.39964866638183594, 0.3900342285633087, 0.38655126094818115, 0.3734642267227173, 0.36652612686157227, 0.34726762771606445];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport gate', 'heliport', 'airport', 'airport lounge', 'plane', 'airport service', 'platform', 'international airport', 'airport terminal'];[0.5673114657402039, 0.4845380187034607, 0.48451313376426697, 0.4804345667362213, 0.4782111644744873, 0.4613948464393616, 0.4396076500415802, 0.4257391095161438, 0.4027032256126404, 0.39956963062286377];airport;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'plane', 'airfield', 'airport gate', 'platform', 'skydiving center', 'airport', 'skydiving drop zone', 'airport service', 'hill'];[0.7863665223121643, 0.41074663400650024, 0.3903220593929291, 0.38572457432746887, 0.35532230138778687, 0.3553045392036438, 0.3458346724510193, 0.3193759322166443, 0.2970340847969055, 0.2748071551322937];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'plane', 'airport service', 'airport gate', 'airport lounge', 'private airport', 'airfield', 'skydiving center', 'airport', 'hot air balloon tour agency'];[0.7343195676803589, 0.4519861340522766, 0.39548707008361816, 0.3880805969238281, 0.38797491788864136, 0.38135194778442383, 0.34938180446624756, 0.3456202745437622, 0.3416293263435364, 0.3212006688117981];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['flight school', 'hot air balloon tour agency', 'skydiving center', 'airport service', 'airport gate', 'observatory', 'tourist information service', 'skydiving drop zone', 'optometrist', 'plane'];[0.33626723289489746, 0.3306143879890442, 0.32276102900505066, 0.3205670118331909, 0.31253761053085327, 0.2978134751319885, 0.2952728867530823, 0.29131951928138733, 0.2882566452026367, 0.2813093662261963];airport service;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > navigationaid
runway;aeroway > runway;A strip of land on which aircraft can take off and land.;['airport', 'airfield', 'airport gate', 'heliport', 'plane', 'platform', 'airport service', 'flight school', 'international airport', 'island'];[0.44938552379608154, 0.44349533319473267, 0.4037390947341919, 0.36120182275772095, 0.3211480975151062, 0.2714312672615051, 0.26489686965942383, 0.25974708795547485, 0.2551373839378357, 0.25086283683776855];airfield;A strip of land on which aircraft can take off and land.;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > runway
spaceport;aeroway > spaceport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;['airport', 'international airport', 'airport service', 'marine terminal', 'airport terminal', 'airfield', 'airport tram station', 'airport gate', 'airport lounge', 'airport ticket counter'];[0.48004478216171265, 0.4289858341217041, 0.41887927055358887, 0.41871052980422974, 0.41247832775115967, 0.3947804570198059, 0.38396841287612915, 0.3815256357192993, 0.37165409326553345, 0.35420316457748413];airport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;travel transportation;travel transportation;0;1;aeroway;aeroway > spaceport
taxiway;aeroway > taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;['airfield', 'airport gate', 'airport', 'heliport', 'airport service', 'international airport', 'airport lounge', 'taxi stand', 'private airport', 'plane'];[0.5641107559204102, 0.5208063125610352, 0.511807918548584, 0.5065256953239441, 0.4999035596847534, 0.4871004819869995, 0.482404887676239, 0.45529088377952576, 0.43384164571762085, 0.4334244728088379];airport;A route where airplanes manouevre between runways and parking areas within an aerodrome;travel transportation > transport hub > airport > airfield;airfield;0;0;aeroway;aeroway > taxiway
terminal;aeroway > terminal;An airport passenger building;['airport terminal', 'airport gate', 'airport', 'international airport', 'airport service', 'airport lounge', 'private airport', 'airport tram station', 'plane', 'airfield'];[0.6022073030471802, 0.520526111125946, 0.47043564915657043, 0.4701439142227173, 0.4555633068084717, 0.4501933157444, 0.4431856870651245, 0.41235166788101196, 0.37776631116867065, 0.3770095109939575];airport terminal;An airport passenger building;travel transportation > transport hub > airport > airport terminal;airport terminal;1;1;aeroway;aeroway > terminal
windsock;aeroway > windsock;An object that shows wind direction and speed.;['windmill', 'plane', 'smog check shop', 'renewable energy service', 'airport gate', 'heating ventilating air conditioning contractor', 'ramen restaurant', 'hot air balloon tour agency', 'tiki bar', 'samgyetang restaurant'];[0.3133487403392792, 0.160307839512825, 0.15784835815429688, 0.1462453454732895, 0.14541681110858917, 0.1448875069618225, 0.14437392354011536, 0.13926304876804352, 0.13393956422805786, 0.1323569416999817];airport gate;An object that shows wind direction and speed.;landmarks outdoors;landmarks outdoors;0;0;aeroway;aeroway > windsock
bar;amenity > sustenance > bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";['pub', 'cocktail bar', 'rooftop bar', 'bar', 'whisky bar', 'gay bar', 'gastropub', 'beer bar', 'lounge', 'hotel bar'];[0.6172674894332886, 0.5971784591674805, 0.5937516093254089, 0.5934017300605774, 0.5653265714645386, 0.5607918500900269, 0.5587137937545776, 0.5564037561416626, 0.5510203838348389, 0.5376669764518738];bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";dining drinking > bar;bar;1;1;amenity;amenity > sustenance
biergarten;amenity > sustenance > biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";['beer garden', 'pub', 'bar', 'brewery', 'beer bar', 'whisky bar', 'cocktail bar', 'gastropub', 'rooftop bar', 'kebab restaurant'];[0.5666103959083557, 0.5083438158035278, 0.49019718170166016, 0.4852183163166046, 0.4778909683227539, 0.4767186641693115, 0.4705037474632263, 0.4700247049331665, 0.4672969579696655, 0.46351906657218933];beer garden;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";dining drinking > bar > beer garden;beer garden;1;1;amenity;amenity > sustenance
cafe;amenity > sustenance > cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";['dining drinking', 'cafe', 'breakfast spot', 'bistro', 'coffee shop', 'soup spot', 'creperie', 'pet cafe', 'gastropub', 'sandwich spot'];[0.6634796857833862, 0.643214762210846, 0.6002050638198853, 0.5939884185791016, 0.5897919535636902, 0.5844154357910156, 0.5815625190734863, 0.5700548887252808, 0.5627614259719849, 0.5546725988388062];cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";dining drinking > cafe coffee tea house > cafe;cafe;1;1;amenity;amenity > sustenance
fast food;amenity > sustenance > fast food;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;['salad restaurant', 'burger joint', 'fast food restaurant', 'snack place', 'mediterranean restaurant', 'comfort food restaurant', 'friterie', 'food court', 'agriturismo', 'restaurant'];[0.5859471559524536, 0.5708913207054138, 0.5680334568023682, 0.563774824142456, 0.5529065132141113, 0.545699417591095, 0.5388652682304382, 0.5376505851745605, 0.5328742861747742, 0.5300137996673584];fast food restaurant;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant > fast food restaurant;fast food restaurant;1;1;amenity;amenity > sustenance
food court;amenity > sustenance > food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;['food court', 'airport food court', 'street food gathering', 'cafeteria', 'street fair', 'salad restaurant', 'food stand', 'rest area', 'gastropub', 'food distribution center'];[0.7188135981559753, 0.6393259167671204, 0.5981645584106445, 0.580225944519043, 0.5671581029891968, 0.5667595863342285, 0.560070276260376, 0.5565286874771118, 0.5556676387786865, 0.5498923063278198];food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;dining drinking > food court;food court;1;1;amenity;amenity > sustenance
ice cream;amenity > sustenance > ice cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;['frozen yogurt shop', 'ice cream parlor', 'gelato shop', 'refrigeration ice supplier', 'smoothie shop', 'donut shop', 'cafeteria', 'candy store', 'deli', 'gourmet store'];[0.6899036169052124, 0.6192175149917603, 0.5016181468963623, 0.48569196462631226, 0.45242244005203247, 0.4511615037918091, 0.4352182149887085, 0.42892783880233765, 0.4264179468154907, 0.42400673031806946];ice cream parlor;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;dining drinking > dessert shop > ice cream parlor;ice cream parlor;1;1;amenity;amenity > sustenance
pub;amenity > sustenance > pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";['pub', 'irish pub', 'whisky bar', 'bar', 'gastropub', 'cocktail bar', 'beer garden', 'beer bar', 'hotel bar', 'rooftop bar'];[0.6953761577606201, 0.6438719034194946, 0.6331684589385986, 0.6286778450012207, 0.6189835071563721, 0.6106243133544922, 0.6031354665756226, 0.599515438079834, 0.5985305309295654, 0.5959360003471375];pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";dining drinking > bar > pub;pub;1;1;amenity;amenity > sustenance
restaurant;amenity > sustenance > restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;['burger joint', 'salad restaurant', 'fast food restaurant', 'mediterranean restaurant', 'snack place', 'comfort food restaurant', 'kaiseki restaurant', 'noodle restaurant', 'steakhouse', 'agriturismo'];[0.5550981163978577, 0.5335854887962341, 0.5095160603523254, 0.5072810053825378, 0.501459538936615, 0.4880741536617279, 0.4862460494041443, 0.48279500007629395, 0.4788808822631836, 0.4750962555408478];restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant;restaurant;1;1;amenity;amenity > sustenance
college;amenity > education > college;Campus or buildings of an institute of Further Education (aka continuing education);['college technology building', 'college quad', 'college engineering building', 'college administrative building', 'student center', 'college arts building', 'college academic building', 'college communications building', 'college residence hall', 'college science building'];[0.6330931782722473, 0.6067125797271729, 0.6024549007415771, 0.5899466872215271, 0.577141284942627, 0.567170262336731, 0.56239914894104, 0.5586615800857544, 0.542695164680481, 0.5425970554351807];college technology building;Campus or buildings of an institute of Further Education (aka continuing education);community government > education > college university > college academic building;college academic building;0;0;amenity;amenity > education
dancing school;amenity > education > dancing school;A dancing school or dance studio;['dance studio', 'samba school', 'dance hall', 'country dance club', 'salsa club', 'night club', 'performing arts venue', 'ballroom', 'music school', 'art school'];[0.6305152177810669, 0.6196149587631226, 0.574162483215332, 0.5303828716278076, 0.5214356184005737, 0.5168110728263855, 0.5045585036277771, 0.49546492099761963, 0.4862579107284546, 0.46804457902908325];dance studio;A dancing school or dance studio;sports recreation > gym studio > dance studio;dance studio;1;1;amenity;amenity > education
driving school;amenity > education > driving school;Driving School which offers motor vehicle driving lessons;['driving school', 'flight school', 'music school', 'adult education', 'education', 'corporate amenity', 'art school', 'college engineering building', 'private school', 'middle school'];[0.6796402931213379, 0.4374263882637024, 0.3956879675388336, 0.3793833255767822, 0.35904455184936523, 0.35893380641937256, 0.35766273736953735, 0.3547538220882416, 0.3509679138660431, 0.3487776815891266];driving school;Driving School which offers motor vehicle driving lessons;community government > education > driving school;driving school;1;1;amenity;amenity > education
first aid school;amenity > education > first aid school;A place where people can go for first aid courses.;['rescue service', 'education', 'preschool', 'driving school', 'charity', 'adult education', 'corporate amenity', 'student center', 'religious school', 'college quad'];[0.4453495144844055, 0.4284140467643738, 0.40264230966567993, 0.40153008699417114, 0.40119290351867676, 0.3877750635147095, 0.38134053349494934, 0.3798745274543762, 0.37882211804389954, 0.377236545085907];education;A place where people can go for first aid courses.;community government > education;education;1;1;amenity;amenity > education
kindergarten;amenity > education > kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;['nursery school', 'preschool', 'middle school', 'primary secondary school', 'elementary school', 'summer camp', 'swim school', 'indoor play area', 'playground', 'daycare'];[0.5590001344680786, 0.5388646721839905, 0.5199496150016785, 0.48088228702545166, 0.4601060748100281, 0.4532286524772644, 0.3918377757072449, 0.3895114064216614, 0.3885359764099121, 0.38829565048217773];nursery school;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;community government > education > nursery school;nursery school;1;1;amenity;amenity > education
language school;amenity > education > language school;Language School: an educational institution where one studies a foreign language.;['language school', 'religious school', 'education', 'art school', 'primary secondary school', 'middle school', 'library', 'preschool', 'samba school', 'cultural center'];[0.5815268754959106, 0.43808847665786743, 0.39537233114242554, 0.3809537887573242, 0.3780398964881897, 0.3692336082458496, 0.3602997362613678, 0.34972482919692993, 0.34929850697517395, 0.3458557426929474];language school;Language School: an educational institution where one studies a foreign language.;community government > education > language school;language school;1;1;amenity;amenity > education
library;amenity > education > library;A public library (municipal, university, …) to borrow books from.;['library', 'college library', 'college bookstore', 'education', 'college quad', 'private school', 'primary secondary school', 'student center', 'college classroom', 'adult education'];[0.649909496307373, 0.5132445096969604, 0.47455209493637085, 0.4239829182624817, 0.4214661121368408, 0.4068153202533722, 0.4005926847457886, 0.40002718567848206, 0.39763665199279785, 0.39601171016693115];library;A public library (municipal, university, �?�) to borrow books from.;community government > library;library;1;1;amenity;amenity > education
surf school;amenity > education > surf school;A surf school is an establishment that teaches surfing.;['swim school', 'surfing', 'surf spot', 'surf store', 'flight school', 'corporate amenity', 'sailing club', 'canoe kayak rental', 'swimming club', 'skate park'];[0.5123913288116455, 0.4799218773841858, 0.4309895634651184, 0.4210323691368103, 0.401796817779541, 0.40152913331985474, 0.38522714376449585, 0.37401676177978516, 0.371349036693573, 0.3576739430427551];swim school;A surf school is an establishment that teaches surfing.;sports recreation > water sports > surfing;surfing;0;0;amenity;amenity > education
toy library;amenity > education > toy library;A place to borrow games and toys, or play with them on site.;['toy store', 'amusement park', 'playground', 'pet supplies store', 'indoor play area', 'arcade', 'mini golf course', 'gaming cafe', 'carnival', 'fair'];[0.6267217397689819, 0.4863811433315277, 0.45110490918159485, 0.4386826455593109, 0.43479013442993164, 0.4342288374900818, 0.4262908101081848, 0.4209595322608948, 0.41781675815582275, 0.407185435295105];toy store;A place to borrow games and toys, or play with them on site.;retail > toy store;toy store;1;1;amenity;amenity > education
research institute;amenity > education > research institute;An establishment endowed for doing research.;['corporate amenity', 'college quad', 'university', 'college university', 'college engineering building', 'college arts building', 'student center', 'college technology building', 'college science building', 'college lab'];[0.48940926790237427, 0.4166843295097351, 0.4072163999080658, 0.4007372260093689, 0.39760440587997437, 0.3956606388092041, 0.39434561133384705, 0.3940217196941376, 0.3902747631072998, 0.37643349170684814];university;An establishment endowed for doing research.;business professional services > research laboratory;research laboratory;0;0;amenity;amenity > education
training;amenity > education > training;Public place where you can get training.;['corporate amenity', 'education', 'driving school', 'gymnastics center', 'religious school', 'art school', 'student center', 'adult education', 'college quad', 'summer camp'];[0.4862213134765625, 0.4687531590461731, 0.45013996958732605, 0.44901275634765625, 0.44422316551208496, 0.43678921461105347, 0.42609941959381104, 0.42549848556518555, 0.42113202810287476, 0.41975271701812744];education;Public place where you can get training.;community government > education;education;1;1;amenity;amenity > education
music school;amenity > education > music school;A music school, an educational institution specialized in the study, training, and research of music.;['music school', 'samba school', 'music venue', 'art school', 'rock club', 'performing arts venue', 'arts entertainment', 'jazz blues venue', 'concert hall', 'night club'];[0.7432221174240112, 0.564795196056366, 0.4868007302284241, 0.4526727795600891, 0.4490046799182892, 0.415175199508667, 0.41025805473327637, 0.4026581943035126, 0.4012032747268677, 0.4008670151233673];music school;A music school, an educational institution specialized in the study, training, and research of music.;community government > education > music school;music school;1;1;amenity;amenity > education
school;amenity > education > school;School and grounds - primary, middle and secondary schools;['middle school', 'primary secondary school', 'elementary school', 'preschool', 'nursery school', 'high school', 'summer camp', 'art school', 'private school', 'corporate amenity'];[0.6022526025772095, 0.5400448441505432, 0.4917590916156769, 0.47239983081817627, 0.44620341062545776, 0.4415792226791382, 0.4088684320449829, 0.4029638171195984, 0.40154480934143066, 0.4000270664691925];primary secondary school;School and grounds - primary, middle and secondary schools;community government > education > primary secondary school;primary secondary school;1;1;amenity;amenity > education
