OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
zip line;aerialway > zip line;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;['plane', 'cable car', 'rafting outfitter', 'skydiving drop zone', 'heliport', 'climbing gym', 'bridge', 'ski chairlift', 'skydiving center', 'rugby', 'structure', 'rock climbing spot', 'windmill', 'waterfall', 'flight school', 'golf driving range', 'stable', 'circus', 'race track', 'swimming', 'hot air balloon tour agency', 'bowling green', 'golf store', 'gymnastics', 'field', 'roof deck', 'nature preserve', 'soccer field', 'playground', 'hiking trail'];[0.32425612211227417, 0.31289219856262207, 0.3096282482147217, 0.2993294894695282, 0.2870229482650757, 0.2816281318664551, 0.2803175449371338, 0.2795412838459015, 0.27875345945358276, 0.2530936598777771, 0.23833727836608887, 0.23738941550254822, 0.23034268617630005, 0.22775936126708984, 0.22538165748119354, 0.2212003916501999, 0.21999666094779968, 0.21786397695541382, 0.2156161367893219, 0.21309852600097656, 0.21111856400966644, 0.20989426970481873, 0.20836393535137177, 0.20362386107444763, 0.20160788297653198, 0.20018664002418518, 0.2001403272151947, 0.19339051842689514, 0.19137302041053772, 0.1869562566280365];cable car;Zip line, gravity propelled aerial ropeslide like a flying fox or similar;sports recreation;sports recreation;0;0;aerialway;aerialway > zip line
goods;aerialway > goods;A cable supported lift for conveying goods, not passengers.;['cable car', 'transportation service', 'shipping freight material transportation service', 'boat ferry', 'train', 'travel transportation', 'platform', 'ski chairlift', 'airport service', 'plane', 'airport', 'taxi stand', 'port', 'taxi', 'public transportation', 'heliport', 'airfield', 'international airport', 'border crossing', 'airport gate', 'luggage store', 'import export service', 'tram station', 'metro station', 'surf store', 'hot air balloon tour agency', 'mobility store', 'airport lounge', 'mover', 'transport hub'];[0.6240173578262329, 0.43951791524887085, 0.4317208528518677, 0.4295669496059418, 0.42736533284187317, 0.41583794355392456, 0.4144097566604614, 0.4098135828971863, 0.39858439564704895, 0.3953843414783478, 0.39459672570228577, 0.37623175978660583, 0.3745303750038147, 0.3703911304473877, 0.36261868476867676, 0.36250799894332886, 0.3538602888584137, 0.35009145736694336, 0.34976646304130554, 0.34786316752433777, 0.3465617895126343, 0.33443737030029297, 0.3336462080478668, 0.3287653625011444, 0.3259262442588806, 0.3235304355621338, 0.32111790776252747, 0.3161535859107971, 0.3152780532836914, 0.31407397985458374];shipping freight material transportation service;A cable supported lift for conveying goods, not passengers.;travel transportation > cable car;cable car;0;0;aerialway;aerialway > goods
pylon;aerialway > pylon;A pylon supporting the aerialway cable.;['cable car', 'plane', 'heliport', 'rafting outfitter', 'bridge', 'rugby', 'fishing store', 'structure', 'canal lock', 'rugby pitch', 'residential building', 'soccer store', 'climbing gym', 'framing store', 'platform', 'hunting supply store', 'hiking trail', 'bowling green', 'hot air balloon tour agency', 'golf store', 'observatory', 'flight school', 'airport gate', 'charity', 'deck patio contractor', 'skydiving center', 'tunnel', 'textiles store', 'aquarium', 'fire station'];[0.3085573613643646, 0.27157461643218994, 0.23117204010486603, 0.22250597178936005, 0.2112932950258255, 0.21053972840309143, 0.19317156076431274, 0.18783073127269745, 0.1839844286441803, 0.18387864530086517, 0.18203690648078918, 0.17857879400253296, 0.17395895719528198, 0.17152690887451172, 0.16988390684127808, 0.16868776082992554, 0.16864904761314392, 0.16832706332206726, 0.16782107949256897, 0.16768650710582733, 0.16546425223350525, 0.15982526540756226, 0.15732434391975403, 0.1546841859817505, 0.15438415110111237, 0.14891186356544495, 0.14706048369407654, 0.14609214663505554, 0.14566519856452942, 0.14477163553237915];cable car;A pylon supporting the aerialway cable.;travel transportation > cable car;cable car;1;1;aerialway;aerialway > pylon
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airport', 'airfield', 'airport gate', 'airport service', 'international airport', 'heliport', 'transport hub', 'light rail station', 'rest area', 'airport terminal', 'travel lounge', 'taxi stand', 'metro station', 'rail station', 'travel transportation', 'taxi', 'transportation service', 'airport lounge', 'airport tram station', 'tram station', 'private airport', 'port', 'platform', 'bus station', 'resort', 'vacation rental', 'lodge', 'airport ticket counter', 'inn', 'public transportation'];[0.48235368728637695, 0.4410526752471924, 0.43365347385406494, 0.42326584458351135, 0.4131056070327759, 0.3976118564605713, 0.3867949843406677, 0.3735184073448181, 0.37271904945373535, 0.37211963534355164, 0.3674737513065338, 0.36666369438171387, 0.3660350441932678, 0.3646638095378876, 0.35731053352355957, 0.3545135259628296, 0.3540593385696411, 0.35177916288375854, 0.3512226939201355, 0.3498448431491852, 0.3474125266075134, 0.3432506322860718, 0.340756893157959, 0.3379253149032593, 0.33767253160476685, 0.33495020866394043, 0.3349407911300659, 0.3336193561553955, 0.3293244242668152, 0.32897451519966125];transport hub;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;0;0;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airport service', 'international airport', 'airport lounge', 'airport gate', 'airport', 'private airport', 'airfield', 'airport tram station', 'heliport', 'airport terminal', 'plane', 'airport ticket counter', 'airport food court', 'hot air balloon tour agency', 'amphitheater', 'flight school', 'skydiving center', 'baggage claim', 'taxi stand', 'boxing gym', 'skydiving drop zone', 'plaza', 'transport hub', 'stadium', 'outdoor gym', 'childrens hospital', 'hockey rink', 'golf club', 'gym pool', 'military base'];[0.5416620969772339, 0.5062369108200073, 0.5052295923233032, 0.4991898238658905, 0.4721830487251282, 0.4674937129020691, 0.45723292231559753, 0.4334266781806946, 0.3879891335964203, 0.38736310601234436, 0.36756259202957153, 0.35145002603530884, 0.34686124324798584, 0.3222721219062805, 0.3209119439125061, 0.3187488913536072, 0.3177034258842468, 0.30230310559272766, 0.28198206424713135, 0.2786964476108551, 0.27746209502220154, 0.27390584349632263, 0.2729169726371765, 0.2726605534553528, 0.27221566438674927, 0.2717113494873047, 0.270646333694458, 0.26852548122406006, 0.2669715881347656, 0.2644736170768738];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'airport service', 'toll booth', 'international airport', 'plane', 'toll plaza', 'airport gate', 'airport', 'cable car', 'bridge', 'airport ticket counter', 'bus line', 'airport terminal', 'private airport', 'transport hub', 'road', 'pedestrian plaza', 'hot air balloon tour agency', 'tunnel', 'flight school', 'truck stop', 'pier', 'platform', 'street', 'vehicle inspection station', 'heliport', 'train', 'travel lounge', 'airport lounge'];[0.4377050995826721, 0.3762986958026886, 0.34124499559402466, 0.32462364435195923, 0.3203291594982147, 0.31660306453704834, 0.30856433510780334, 0.30677342414855957, 0.3006317913532257, 0.28663328289985657, 0.2816556990146637, 0.2667437791824341, 0.2605297267436981, 0.2557045519351959, 0.24628160893917084, 0.2374081015586853, 0.23575210571289062, 0.23050856590270996, 0.2293243706226349, 0.2290121614933014, 0.22552381455898285, 0.223617821931839, 0.2234354317188263, 0.2226831316947937, 0.2111295759677887, 0.2089080810546875, 0.20469030737876892, 0.20367982983589172, 0.20026452839374542, 0.1999318152666092];airport;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;0;0;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'airport gate', 'airport', 'baggage claim', 'international airport', 'airport service', 'airport terminal', 'port', 'plane', 'private airport', 'airport lounge', 'marine terminal', 'platform', 'airport ticket counter', 'baggage locker', 'parking', 'airport food court', 'airport tram station', 'taxi stand', 'heliport', 'dutyfree store', 'travel lounge', 'hot air balloon tour agency', 'motel', 'bagel shop', 'bus station', 'rest area', 'luggage store', 'taxi', 'pier'];[0.5414177775382996, 0.501230001449585, 0.4951251149177551, 0.4727441072463989, 0.45649129152297974, 0.4367150068283081, 0.4175414443016052, 0.41589391231536865, 0.4023754298686981, 0.383652925491333, 0.3794177174568176, 0.36652642488479614, 0.3316332995891571, 0.32986021041870117, 0.32226821780204773, 0.3177626132965088, 0.3173799514770508, 0.31146734952926636, 0.30483466386795044, 0.2901417016983032, 0.28709033131599426, 0.28603628277778625, 0.2777317464351654, 0.25989416241645813, 0.2491653859615326, 0.23996978998184204, 0.23979443311691284, 0.2395404577255249, 0.23834408819675446, 0.23095011711120605];airport;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'platform', 'international airport', 'airfield', 'travel lounge', 'airport', 'airport service', 'taxi stand', 'airport lounge', 'plane', 'private airport', 'airport ticket counter', 'airport tram station', 'baggage claim', 'flight school', 'port', 'heliport', 'marine terminal', 'airport food court', 'baggage locker', 'boarding house', 'taxi', 'public transportation', 'lodge', 'parking', 'line', 'rest area', 'cabin', 'lodging'];[0.5555360317230225, 0.4894241392612457, 0.47475457191467285, 0.43590572476387024, 0.39964866638183594, 0.3900342285633087, 0.38655126094818115, 0.3734642267227173, 0.36652612686157227, 0.34726762771606445, 0.3262164890766144, 0.3244178891181946, 0.31919705867767334, 0.31673431396484375, 0.30779576301574707, 0.2856656312942505, 0.28399741649627686, 0.2827344834804535, 0.2680666446685791, 0.2659676969051361, 0.26570963859558105, 0.23117561638355255, 0.2231496125459671, 0.2141847014427185, 0.2105209231376648, 0.2102801501750946, 0.20440176129341125, 0.20378239452838898, 0.20377209782600403, 0.19375744462013245];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport gate', 'heliport', 'airport', 'airport lounge', 'plane', 'airport service', 'platform', 'international airport', 'airport terminal', 'cabin', 'private airport', 'boarding house', 'airport tram station', 'hot air balloon tour agency', 'lodge', 'palace', 'airport ticket counter', 'baggage claim', 'marine terminal', 'club house', 'skydiving center', 'pier', 'hostel', 'baggage locker', 'military base', 'flight school', 'travel lounge', 'structure', 'ski chalet'];[0.5673114657402039, 0.4845380187034607, 0.48451313376426697, 0.4804345667362213, 0.4782111644744873, 0.4613948464393616, 0.4396076500415802, 0.4257391095161438, 0.4027032256126404, 0.39956963062286377, 0.3903379440307617, 0.389639675617218, 0.3736955523490906, 0.3719208836555481, 0.3615528643131256, 0.34998100996017456, 0.3377644419670105, 0.32950329780578613, 0.32881394028663635, 0.3207300901412964, 0.31858694553375244, 0.3179824948310852, 0.3148385286331177, 0.3070720434188843, 0.30678635835647583, 0.3021501898765564, 0.29791203141212463, 0.296805739402771, 0.28385069966316223, 0.28370457887649536];airfield;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'plane', 'airfield', 'airport gate', 'platform', 'skydiving center', 'airport', 'skydiving drop zone', 'airport service', 'hill', 'airport lounge', 'ski chairlift', 'private airport', 'skate park', 'flight school', 'hot air balloon tour agency', 'field', 'surf spot', 'structure', 'disc golf course', 'hockey rink', 'gymnastics', 'plaza', 'bowling green', 'gymnastics center', 'international airport', 'island', 'wings joint', 'golf course', 'airport tram station'];[0.7863665223121643, 0.41074663400650024, 0.3903220593929291, 0.38572457432746887, 0.35532230138778687, 0.3553045392036438, 0.3458346724510193, 0.3193759322166443, 0.2970340847969055, 0.2748071551322937, 0.2585214078426361, 0.24918514490127563, 0.24870571494102478, 0.24369506537914276, 0.24125906825065613, 0.24112656712532043, 0.24105854332447052, 0.24079252779483795, 0.23604226112365723, 0.2359190583229065, 0.22785130143165588, 0.2276225984096527, 0.22120633721351624, 0.21790748834609985, 0.2151959091424942, 0.21249286830425262, 0.21192583441734314, 0.21189695596694946, 0.20946276187896729, 0.20444253087043762];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'plane', 'airport service', 'airport gate', 'airport lounge', 'private airport', 'airfield', 'skydiving center', 'airport', 'hot air balloon tour agency', 'international airport', 'airport tram station', 'skydiving drop zone', 'flight school', 'airport terminal', 'palace', 'plaza', 'structure', 'bowling green', 'golf driving range', 'windmill', 'canal', 'campground', 'disc golf course', 'skate park', 'surf spot', 'transport hub', 'golf course', 'baggage claim', 'golf club'];[0.7343195676803589, 0.4519861340522766, 0.39548707008361816, 0.3880805969238281, 0.38797491788864136, 0.38135194778442383, 0.34938180446624756, 0.3456202745437622, 0.3416293263435364, 0.3212006688117981, 0.3089423179626465, 0.28998053073883057, 0.28654876351356506, 0.2807537913322449, 0.26817405223846436, 0.2668745219707489, 0.2634337842464447, 0.24771973490715027, 0.24696484208106995, 0.2433008849620819, 0.24253220856189728, 0.23999866843223572, 0.23993787169456482, 0.23747652769088745, 0.23522937297821045, 0.2324691116809845, 0.2308318018913269, 0.22896090149879456, 0.22892498970031738, 0.22889238595962524];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['flight school', 'hot air balloon tour agency', 'skydiving center', 'airport service', 'airport gate', 'observatory', 'tourist information service', 'skydiving drop zone', 'optometrist', 'plane', 'scenic lookout', 'rafting outfitter', 'airport', 'travel agency', 'gymnastics center', 'zoo exhibit', 'heliport', 'platform', 'driving school', 'tunnel', 'framing store', 'dive store', 'dive spot', 'vehicle inspection station', 'heating ventilating air conditioning contractor', 'tour provider', 'college rec center', 'hotel', 'transportation service', 'gym studio'];[0.33626723289489746, 0.3306143879890442, 0.32276102900505066, 0.3205670118331909, 0.31253761053085327, 0.2978134751319885, 0.2952728867530823, 0.29131951928138733, 0.2882566452026367, 0.2813093662261963, 0.2804931402206421, 0.2745039463043213, 0.26932209730148315, 0.2653309106826782, 0.26262423396110535, 0.2611623704433441, 0.256109356880188, 0.25481224060058594, 0.2526730000972748, 0.2509543299674988, 0.24776960909366608, 0.24646568298339844, 0.24240198731422424, 0.23998096585273743, 0.23906227946281433, 0.23881034553050995, 0.2379857748746872, 0.23582133650779724, 0.23568396270275116, 0.23468174040317535];airport service;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > navigationaid
