OSM_tag;OSM_path;OSM_description;FS_candidates;FS_scores;FS_tag_GPT;OSM_full_description;FS_manual_path;FS_manual_tag;correct;new_correct;OSM_main;OSM_main_sub
station;aerialway > station;A station where passengers and/or goods can enter and/or leave the aerialway;['airport', 'airfield', 'airport gate', 'airport service', 'international airport'];[0.48235368728637695, 0.4410526752471924, 0.43365347385406494, 0.42326584458351135, 0.4131056070327759];airport;A station where passengers and/or goods can enter and/or leave the aerialway;travel transportation > transport hub > airport;airport;1;1;aerialway;aerialway > station
aerodrome;aeroway > aerodrome;An aerodrome, airport or airfield;['airport service', 'international airport', 'airport lounge', 'airport gate', 'airport'];[0.5416620969772339, 0.5062369108200073, 0.5052295923233032, 0.4991898238658905, 0.4721830487251282];airport;An aerodrome, airport or airfield;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > aerodrome
aircraft crossing;aeroway > aircraft crossing;A point where the flow of traffic is impacted by crossing aircraft.;['border crossing', 'intersection', 'airport service', 'toll booth', 'international airport'];[0.4377050995826721, 0.3762986958026886, 0.34124499559402466, 0.32462364435195923, 0.3203291594982147];intersection;A point where the flow of traffic is impacted by crossing aircraft.;travel transportation > road > intersection;intersection;1;1;aeroway;aeroway > aircraft crossing
apron;aeroway > apron;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;['airfield', 'airport gate', 'airport', 'baggage claim', 'international airport'];[0.5414177775382996, 0.501230001449585, 0.4951251149177551, 0.4727441072463989, 0.45649129152297974];airport;An area of an airport where planes are parked, unloaded or loaded, refueled, or boarded.;travel transportation > transport hub > airport;airport;1;1;aeroway;aeroway > apron
gate;aeroway > gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;['airport gate', 'airport terminal', 'platform', 'international airport', 'airfield'];[0.5555360317230225, 0.4894241392612457, 0.47475457191467285, 0.43590572476387024, 0.39964866638183594];airport gate;The bounded space, inside the airport terminal, where passengers wait before boarding their flight;travel transportation > transport hub > airport > airport gate;airport gate;1;1;aeroway;aeroway > gate
hangar;aeroway > hangar;A large airport building with extensive floor area for housing aircraft or spacecraft.;['airfield', 'airport gate', 'heliport', 'airport', 'airport lounge'];[0.5673114657402039, 0.4845380187034607, 0.48451313376426697, 0.4804345667362213, 0.4782111644744873];airfield;A large airport building with extensive floor area for housing aircraft or spacecraft.;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > hangar
helipad;aeroway > helipad;A landing area or platform designed for helicopters;['heliport', 'plane', 'airfield', 'airport gate', 'platform'];[0.7863665223121643, 0.41074663400650024, 0.3903220593929291, 0.38572457432746887, 0.35532230138778687];heliport;A landing area or platform designed for helicopters;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > helipad
heliport;aeroway > heliport;A special aerodrome built for helicopters.;['heliport', 'plane', 'airport service', 'airport gate', 'airport lounge'];[0.7343195676803589, 0.4519861340522766, 0.39548707008361816, 0.3880805969238281, 0.38797491788864136];heliport;A special aerodrome built for helicopters.;travel transportation > transport hub > heliport;heliport;1;1;aeroway;aeroway > heliport
navigationaid;aeroway > navigationaid;A facility that supports visual navigation for aircraft;['flight school', 'hot air balloon tour agency', 'skydiving center', 'airport service', 'airport gate'];[0.33626723289489746, 0.3306143879890442, 0.32276102900505066, 0.3205670118331909, 0.31253761053085327];airport service;A facility that supports visual navigation for aircraft;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > navigationaid
runway;aeroway > runway;A strip of land on which aircraft can take off and land.;['airport', 'airfield', 'airport gate', 'heliport', 'plane'];[0.44938552379608154, 0.44349533319473267, 0.4037390947341919, 0.36120182275772095, 0.3211480975151062];airfield;A strip of land on which aircraft can take off and land.;travel transportation > transport hub > airport;airport;0;1;aeroway;aeroway > runway
spaceport;aeroway > spaceport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;['airport', 'international airport', 'airport service', 'marine terminal', 'airport terminal'];[0.48004478216171265, 0.4289858341217041, 0.41887927055358887, 0.41871052980422974, 0.41247832775115967];airport;A spaceport or cosmodrome: a site for launching or receiving spacecraft;travel transportation;travel transportation;0;1;aeroway;aeroway > spaceport
taxiway;aeroway > taxiway;A route where airplanes manouevre between runways and parking areas within an aerodrome;['airfield', 'airport gate', 'airport', 'heliport', 'airport service'];[0.5641107559204102, 0.5208063125610352, 0.511807918548584, 0.5065256953239441, 0.4999035596847534];airfield;A route where airplanes manouevre between runways and parking areas within an aerodrome;travel transportation > transport hub > airport > airfield;airfield;1;1;aeroway;aeroway > taxiway
terminal;aeroway > terminal;An airport passenger building;['airport terminal', 'airport gate', 'airport', 'international airport', 'airport service'];[0.6022073030471802, 0.520526111125946, 0.47043564915657043, 0.4701439142227173, 0.4555633068084717];airport terminal;An airport passenger building;travel transportation > transport hub > airport > airport terminal;airport terminal;1;1;aeroway;aeroway > terminal
windsock;aeroway > windsock;An object that shows wind direction and speed.;['windmill', 'plane', 'smog check shop', 'renewable energy service', 'airport gate'];[0.3133487403392792, 0.160307839512825, 0.15784835815429688, 0.1462453454732895, 0.14541681110858917];airport gate;An object that shows wind direction and speed.;landmarks outdoors;landmarks outdoors;0;0;aeroway;aeroway > windsock
bar;amenity > sustenance > bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";['pub', 'cocktail bar', 'rooftop bar', 'bar', 'whisky bar'];[0.6172674894332886, 0.5971784591674805, 0.5937516093254089, 0.5934017300605774, 0.5653265714645386];bar;"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity=pub;bar;restaurant for a distinction between these.";dining drinking > bar;bar;1;1;amenity;amenity > sustenance
biergarten;amenity > sustenance > biergarten;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";['beer garden', 'pub', 'bar', 'brewery', 'beer bar'];[0.5666103959083557, 0.5083438158035278, 0.49019718170166016, 0.4852183163166046, 0.4778909683227539];beer garden;"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten=yes additional to amenity=pub;bar;restaurant.";dining drinking > bar > beer garden;beer garden;1;1;amenity;amenity > sustenance
cafe;amenity > sustenance > cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";['dining drinking', 'cafe', 'breakfast spot', 'bistro', 'coffee shop'];[0.6634796857833862, 0.643214762210846, 0.6002050638198853, 0.5939884185791016, 0.5897919535636902];cafe;"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe. The kind of food served may be mapped with the tags cuisine=* and diet:*=*. See also the tags amenity=restaurant;bar;fast_food.";dining drinking > cafe coffee tea house > cafe;cafe;1;1;amenity;amenity > sustenance
fast food;amenity > sustenance > fast food;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;['salad restaurant', 'burger joint', 'fast food restaurant', 'snack place', 'mediterranean restaurant'];[0.5859471559524536, 0.5708913207054138, 0.5680334568023682, 0.563774824142456, 0.5529065132141113];fast food restaurant;Fast food restaurant (see also amenity=restaurant). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant > fast food restaurant;fast food restaurant;1;1;amenity;amenity > sustenance
food court;amenity > sustenance > food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;['food court', 'airport food court', 'street food gathering', 'cafeteria', 'street fair'];[0.7188135981559753, 0.6393259167671204, 0.5981645584106445, 0.580225944519043, 0.5671581029891968];food court;An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.;dining drinking > food court;food court;1;1;amenity;amenity > sustenance
ice cream;amenity > sustenance > ice cream;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;['frozen yogurt shop', 'ice cream parlor', 'gelato shop', 'refrigeration ice supplier', 'smoothie shop'];[0.6899036169052124, 0.6192175149917603, 0.5016181468963623, 0.48569196462631226, 0.45242244005203247];ice cream parlor;Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter;dining drinking > dessert shop > ice cream parlor;ice cream parlor;1;1;amenity;amenity > sustenance
pub;amenity > sustenance > pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";['pub', 'irish pub', 'whisky bar', 'bar', 'gastropub'];[0.6953761577606201, 0.6438719034194946, 0.6331684589385986, 0.6286778450012207, 0.6189835071563721];pub;"A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity=bar and amenity=pub for distinction between bar and pub";dining drinking > bar > pub;pub;1;1;amenity;amenity > sustenance
restaurant;amenity > sustenance > restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;['burger joint', 'salad restaurant', 'fast food restaurant', 'mediterranean restaurant', 'snack place'];[0.5550981163978577, 0.5335854887962341, 0.5095160603523254, 0.5072810053825378, 0.501459538936615];restaurant;Restaurant (not fast food, see amenity=fast_food). The kind of food served can be tagged with cuisine=* and diet:*=*.;dining drinking > restaurant;restaurant;1;1;amenity;amenity > sustenance
college;amenity > education > college;Campus or buildings of an institute of Further Education (aka continuing education);['college technology building', 'college quad', 'college engineering building', 'college administrative building', 'student center'];[0.6330931782722473, 0.6067125797271729, 0.6024549007415771, 0.5899466872215271, 0.577141284942627];college;Campus or buildings of an institute of Further Education (aka continuing education);community government > education > college university > college academic building;college academic building;0;0;amenity;amenity > education
dancing school;amenity > education > dancing school;A dancing school or dance studio;['dance studio', 'samba school', 'dance hall', 'country dance club', 'salsa club'];[0.6305152177810669, 0.6196149587631226, 0.574162483215332, 0.5303828716278076, 0.5214356184005737];dance studio;A dancing school or dance studio;sports recreation > gym studio > dance studio;dance studio;1;1;amenity;amenity > education
driving school;amenity > education > driving school;Driving School which offers motor vehicle driving lessons;['driving school', 'flight school', 'music school', 'adult education', 'education'];[0.6796402931213379, 0.4374263882637024, 0.3956879675388336, 0.3793833255767822, 0.35904455184936523];driving school;Driving School which offers motor vehicle driving lessons;community government > education > driving school;driving school;1;1;amenity;amenity > education
first aid school;amenity > education > first aid school;A place where people can go for first aid courses.;['rescue service', 'education', 'preschool', 'driving school', 'charity'];[0.4453495144844055, 0.4284140467643738, 0.40264230966567993, 0.40153008699417114, 0.40119290351867676];education;A place where people can go for first aid courses.;community government > education;education;1;1;amenity;amenity > education
kindergarten;amenity > education > kindergarten;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;['nursery school', 'preschool', 'middle school', 'primary secondary school', 'elementary school'];[0.5590001344680786, 0.5388646721839905, 0.5199496150016785, 0.48088228702545166, 0.4601060748100281];nursery school;For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.;community government > education > nursery school;nursery school;1;1;amenity;amenity > education
language school;amenity > education > language school;Language School: an educational institution where one studies a foreign language.;['language school', 'religious school', 'education', 'art school', 'primary secondary school'];[0.5815268754959106, 0.43808847665786743, 0.39537233114242554, 0.3809537887573242, 0.3780398964881897];language school;Language School: an educational institution where one studies a foreign language.;community government > education > language school;language school;1;1;amenity;amenity > education
library;amenity > education > library;A public library (municipal, university, …) to borrow books from.;['library', 'college library', 'college bookstore', 'education', 'college quad'];[0.649909496307373, 0.5132445096969604, 0.47455209493637085, 0.4239829182624817, 0.4214661121368408];library;A public library (municipal, university, �?�) to borrow books from.;community government > library;library;1;1;amenity;amenity > education
surf school;amenity > education > surf school;A surf school is an establishment that teaches surfing.;['swim school', 'surfing', 'surf spot', 'surf store', 'flight school'];[0.5123913288116455, 0.4799218773841858, 0.4309895634651184, 0.4210323691368103, 0.401796817779541];swim school;A surf school is an establishment that teaches surfing.;sports recreation > water sports > surfing;surfing;0;0;amenity;amenity > education
toy library;amenity > education > toy library;A place to borrow games and toys, or play with them on site.;['toy store', 'amusement park', 'playground', 'pet supplies store', 'indoor play area'];[0.6267217397689819, 0.4863811433315277, 0.45110490918159485, 0.4386826455593109, 0.43479013442993164];toy store;A place to borrow games and toys, or play with them on site.;retail > toy store;toy store;1;1;amenity;amenity > education
research institute;amenity > education > research institute;An establishment endowed for doing research.;['corporate amenity', 'college quad', 'university', 'college university', 'college engineering building'];[0.48940926790237427, 0.4166843295097351, 0.4072163999080658, 0.4007372260093689, 0.39760440587997437];university;An establishment endowed for doing research.;business professional services > research laboratory;research laboratory;0;0;amenity;amenity > education
training;amenity > education > training;Public place where you can get training.;['corporate amenity', 'education', 'driving school', 'gymnastics center', 'religious school'];[0.4862213134765625, 0.4687531590461731, 0.45013996958732605, 0.44901275634765625, 0.44422316551208496];education;Public place where you can get training.;community government > education;education;1;1;amenity;amenity > education
music school;amenity > education > music school;A music school, an educational institution specialized in the study, training, and research of music.;['music school', 'samba school', 'music venue', 'art school', 'rock club'];[0.7432221174240112, 0.564795196056366, 0.4868007302284241, 0.4526727795600891, 0.4490046799182892];music school;A music school, an educational institution specialized in the study, training, and research of music.;community government > education > music school;music school;1;1;amenity;amenity > education
school;amenity > education > school;School and grounds - primary, middle and secondary schools;['middle school', 'primary secondary school', 'elementary school', 'preschool', 'nursery school'];[0.6022526025772095, 0.5400448441505432, 0.4917590916156769, 0.47239983081817627, 0.44620341062545776];primary secondary school;School and grounds - primary, middle and secondary schools;community government > education > primary secondary school;primary secondary school;1;1;amenity;amenity > education
traffic park;amenity > education > traffic park;Juvenile traffic schools;['driving school', 'summer camp', 'music school', 'amusement park', 'playground'];[0.5719738602638245, 0.44000566005706787, 0.4349759817123413, 0.43127864599227905, 0.4305083155632019];driving school;Juvenile traffic schools;community government > education > driving school;driving school;1;1;amenity;amenity > education
university;amenity > education > university;A university campus: an institute of higher education;['college quad', 'college technology building', 'college cafeteria', 'college university', 'university'];[0.5773048400878906, 0.5457981824874878, 0.5322516560554504, 0.5279914140701294, 0.5199498534202576];university;A university campus: an institute of higher education;community government > education > college university > university;university;1;1;amenity;amenity > education
bicycle parking;amenity > transportation > bicycle parking;Parking for bicycles;['bike rental', 'parking', 'skate park', 'rv park', 'motel'];[0.5339192748069763, 0.5215073823928833, 0.4956774115562439, 0.49409788846969604, 0.48666197061538696];parking;Parking for bicycles;travel transportation > parking;parking;1;1;amenity;amenity > transportation
bicycle repair station;amenity > transportation > bicycle repair station;"General tools for self-service bicycle repairs, usually on the roadside; no service";['motorcycle repair shop', 'tire repair shop', 'automotive repair shop', 'automotive service', 'automotive shop'];[0.6277097463607788, 0.6182198524475098, 0.5991717576980591, 0.5916324853897095, 0.553638756275177];automotive service;"General tools for self-service bicycle repairs, usually on the roadside; no service";business professional services;business professional services;0;1;amenity;amenity > transportation
bicycle rental;amenity > transportation > bicycle rental;Rent a bicycle;['bike rental', 'vacation rental', 'boat rental', 'resort', 'hostel'];[0.6963565349578857, 0.5120968818664551, 0.5043500661849976, 0.47544366121292114, 0.46920883655548096];bike rental;Rent a bicycle;travel transportation > bike rental;bike rental;1;1;amenity;amenity > transportation
bicycle wash;amenity > transportation > bicycle wash;Clean a bicycle;['laundry service', 'car wash detail', 'dry cleaner', 'laundromat', 'bike rental'];[0.47174447774887085, 0.4647367596626282, 0.46293801069259644, 0.4498506188392639, 0.37598714232444763];bike rental;Clean a bicycle;business professional services;business professional services;0;0;amenity;amenity > transportation
boat rental;amenity > transportation > boat rental;Rent a Boat;['boat rental', 'canoe kayak rental', 'boat ferry', 'vacation rental', 'pier'];[0.7678297758102417, 0.5897667407989502, 0.5356095433235168, 0.48662108182907104, 0.4629775881767273];boat rental;Rent a Boat;travel transportation > boat rental;boat rental;1;1;amenity;amenity > transportation
boat sharing;amenity > transportation > boat sharing;Share a Boat;['boat rental', 'boat ferry', 'floating market', 'port', 'canoe kayak rental'];[0.6275166273117065, 0.5630795955657959, 0.46145176887512207, 0.4538092613220215, 0.4502899646759033];boat rental;Share a Boat;travel transportation;travel transportation;0;1;amenity;amenity > transportation
bus station;amenity > transportation > bus station;May also be tagged as public_transport=station.;['public transportation', 'charter bus', 'bus line', 'transportation service', 'travel transportation'];[0.560150682926178, 0.5367961525917053, 0.5255407094955444, 0.4978386163711548, 0.47837379574775696];public transportation;May also be tagged as public_transport=station.;travel transportation > transport hub > bus station;bus station;0;0;amenity;amenity > transportation
car rental;amenity > transportation > car rental;Rent a car;['bike rental', 'vacation rental', 'limo service', 'boat rental', 'rental car location'];[0.5385648012161255, 0.5275731086730957, 0.5077669620513916, 0.5063513517379761, 0.4924278259277344];rental car location;Rent a car;travel transportation > transport hub > rental car location;rental car location;1;1;amenity;amenity > transportation
car sharing;amenity > transportation > car sharing;Share a car;['hostel', 'train', 'transportation service', 'limo service', 'travel transportation'];[0.48372218012809753, 0.45749786496162415, 0.43026360869407654, 0.42007750272750854, 0.4139082431793213];transportation service;Share a car;travel transportation;travel transportation;0;1;amenity;amenity > transportation
car wash;amenity > transportation > car wash;Wash a car;['car wash detail', 'laundromat', 'laundry service', 'dry cleaner', 'limo service'];[0.5390452742576599, 0.48508501052856445, 0.4107058048248291, 0.3656808137893677, 0.3393239378929138];car wash;Wash a car;business professional services > automotive service > car wash detail;car wash detail;0;0;amenity;amenity > transportation
compressed air;amenity > transportation > compressed air;A device to inflate tires/tyres (e.g. motorcar, bicycle);['plane', 'bicycle store', 'motor scooter dealership', 'bike rental', 'tire repair shop'];[0.3936890959739685, 0.3474389314651489, 0.3236927390098572, 0.31652820110321045, 0.3012174367904663];tire repair shop;A device to inflate tires/tyres (e.g. motorcar, bicycle);business professional services > automotive service > tire repair shop;tire repair shop;1;1;amenity;amenity > transportation
vehicle inspection;amenity > transportation > vehicle inspection;Government vehicle inspection;['vehicle inspection station', 'home inspection', 'smog check shop', 'salvage yard', 'corporate amenity'];[0.6410684585571289, 0.44071412086486816, 0.41867688298225403, 0.4098515808582306, 0.40391480922698975];vehicle inspection station;Government vehicle inspection;business professional services > automotive service > vehicle inspection station;vehicle inspection station;1;1;amenity;amenity > transportation
charging station;amenity > transportation > charging station;Charging facility for electric vehicles;['electric vehicle charging station', 'power plant', 'resort', 'corporate amenity', 'rv park'];[0.7626739144325256, 0.4642687737941742, 0.44401252269744873, 0.4245055913925171, 0.416015088558197];electric vehicle charging station;Charging facility for electric vehicles;travel transportation > electric vehicle charging station;electric vehicle charging station;1;1;amenity;amenity > transportation
driver training;amenity > transportation > driver training;A place for driving training on a closed course;['driving school', 'truck stop', 'gym studio', 'limo service', 'track'];[0.6824151277542114, 0.5083843469619751, 0.4194316565990448, 0.4085277318954468, 0.4076758027076721];driving school;A place for driving training on a closed course;sports recreation > race track > racecourse;racecourse;0;0;amenity;amenity > transportation
ferry terminal;amenity > transportation > ferry terminal;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.;['boat ferry', 'port', 'boat rental', 'marine terminal', 'travel transportation'];[0.5521495342254639, 0.4611949920654297, 0.4463627338409424, 0.41331958770751953, 0.4015405774116516];boat ferry;Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.;travel transportation > pier;pier;0;0;amenity;amenity > transportation
fuel;amenity > transportation > fuel;"Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway=service.";['fuel station', 'transportation service', 'vehicle inspection station', 'transport hub', 'petroleum supplier'];[0.6398590803146362, 0.4408474564552307, 0.40729227662086487, 0.40006762742996216, 0.39482587575912476];fuel station;"Petrol station; gas station; marine fuel; �?� Streets to petrol stations are often tagged highway=service.";travel transportation > fuel station;fuel station;1;1;amenity;amenity > transportation
grit bin;amenity > transportation > grit bin;A container that holds grit or a mixture of salt and grit.;['packaging supply store', 'recycling facility', 'salvage yard', 'storage facility', 'baggage locker'];[0.3404105305671692, 0.31210240721702576, 0.31114739179611206, 0.29080551862716675, 0.2847861647605896];storage facility;A container that holds grit or a mixture of salt and grit.;travel transportation > road;road;0;0;amenity;amenity > transportation
motorcycle parking;amenity > transportation > motorcycle parking;Parking for motorcycles;['parking', 'rv park', 'skate park', 'bike rental', 'motorcycle repair shop'];[0.5280274152755737, 0.4819103479385376, 0.4818793833255768, 0.4663972556591034, 0.4660860300064087];parking;Parking for motorcycles;travel transportation > parking;parking;1;1;amenity;amenity > transportation
parking;amenity > transportation > parking;Parking area for vehicles. Streets on car parking are often tagged highway=service and service=parking_aisle.;['parking', 'motel', 'rv park', 'towing service', 'charter bus'];[0.5402306318283081, 0.4821876883506775, 0.47783395648002625, 0.4532807469367981, 0.4244435727596283];parking;Parking area for vehicles. Streets on car parking are often tagged highway=service and service=parking_aisle.;travel transportation > parking;parking;1;1;amenity;amenity > transportation
parking entrance;amenity > transportation > parking entrance;An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking;['parking', 'pedestrian plaza', 'urban park', 'rv park', 'park'];[0.4513377547264099, 0.40101516246795654, 0.3914061188697815, 0.3892818093299866, 0.38027429580688477];parking;An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type=site and site=parking;travel transportation > parking;parking;1;1;amenity;amenity > transportation
parking space;amenity > transportation > parking space;A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking;['parking', 'rv park', 'park', 'skate park', 'rental car location'];[0.4611608386039734, 0.418451189994812, 0.3552137613296509, 0.3504260778427124, 0.34914708137512207];parking;A single parking space within a car park. Parking spaces should be mapped within an amenity=parking area. Group multiple parking spaces together with a relation using the tags type=site and site=parking;travel transportation > parking;parking;1;1;amenity;amenity > transportation
